WP4,campaign,value,pu
736,1,0,100736
737,1,0,100737
738,1,0,100738
739,1,0,100739
740,1,0,100740
741,1,0,100741
742,1,0,100742
743,1,0,100743
744,1,0,100744
745,1,0,100745
746,1,0,100746
747,1,0,100747
748,1,0,100748
749,1,0,100749
750,1,0,100750
751,1,0,100751
752,1,0,100752
753,1,0,100753
754,1,0,100754
755,1,0,100755
756,1,0.7137187175494467,100756
757,1,0.8145997803927314,100757
758,1,0.8304205233481621,100758
759,1,0.8098818286381959,100759
760,1,0,100760
761,1,0.8374536440797381,100761
762,1,0.8289405621652158,100762
763,1,0.7764739494423936,100763
764,1,0.821975461494792,100764
765,1,0.8383344230901549,100765
766,1,0.8730592563298952,100766
767,1,0.8839767209543336,100767
768,1,0.8945371286873808,100768
769,1,0.8471366758044221,100769
770,1,0.8714567274710695,100770
771,1,0.818966822400797,100771
772,1,0.9068735169380068,100772
773,1,0.9175355495920993,100773
774,1,0.887782887091529,100774
775,1,0.8359986102510668,100775
776,1,0.9364609276358337,100776
777,1,0.9550447614366375,100777
778,1,0.9784870252282156,100778
779,1,0.7709878932620707,100779
780,1,0.9201668800792069,100780
781,1,0.9326532155758938,100781
782,1,0.9338869924126034,100782
783,1,0.8488151152879393,100783
784,1,0,100784
785,1,0.8414215585037027,100785
786,1,0.5482946314929615,100786
787,1,0.9092189500238217,100787
788,1,0.49088929370702933,100788
789,1,0.8620544669377119,100789
790,1,0.9241638863910314,100790
791,1,0.9128282661467211,100791
792,1,0.8945324477506503,100792
793,1,0.9055773794301046,100793
794,1,0,100794
795,1,0,100795
796,1,0,100796
797,1,0,100797
798,1,0,100798
799,1,0,100799
800,1,0,100800
801,1,0,100801
802,1,0,100802
803,1,0,100803
804,1,0,100804
805,1,0,100805
806,1,0.8686787016502147,100806
807,1,0,100807
808,1,0,100808
809,1,0,100809
810,1,0,100810
811,1,0,100811
812,1,0,100812
813,1,0,100813
814,1,0,100814
815,1,0,100815
816,1,0,100816
817,1,0,100817
818,1,0.8923658830869724,100818
819,1,0.9042165990601156,100819
820,1,0.91953967365423706,100820
821,1,0.9158029295241896,100821
822,1,0.8878289209465964,100822
823,1,0,100823
824,1,0,100824
825,1,0,100825
826,1,0,100826
827,1,0,100827
828,1,0,100828
829,1,0,100829
830,1,0.9096309110624813,100830
831,1,0,100831
832,1,0,100832
833,1,0,100833
834,1,0,100834
835,1,0,100835
836,1,0,100836
837,1,0,100837
838,1,0,100838
839,1,0,100839
840,1,0.8529812458619654,100840
841,1,0.91909606480930806,100841
842,1,0.9318381634964452,100842
843,1,0.8852734699832402,100843
844,1,0,100844
845,1,0,100845
846,1,0,100846
847,1,0.8977613546893638,100847
848,1,0.9278382880493323,100848
849,1,0.9381129080683133,100849
850,1,0.9122156789785433,100850
851,1,0,100851
852,1,0,100852
853,1,0,100853
854,1,0,100854
855,1,0.884400965245435,100855
856,1,0.9436292879593696,100856
857,1,0,100857
858,1,0.9390062444511282,100858
859,1,0.9434509789617099,100859
860,1,0.9290783603245613,100860
861,1,0.9295684994622734,100861
862,1,0.9349665952187326,100862
863,1,0.903578452756898,100863
864,1,0.9280205562849405,100864
865,1,0,100865
866,1,0.7983494682139812,100866
867,1,0.9799609559683485,100867
868,1,0.9697183301337703,100868
869,1,0.8129711137938402,100869
870,1,0.936364269642812,100870
871,1,0.9491739712754986,100871
872,1,0,100872
873,1,0,100873
874,1,0,100874
875,1,0,100875
876,1,0,100876
877,1,0,100877
878,1,0,100878
879,1,0,100879
880,1,0,100880
881,1,0,100881
882,1,0,100882
883,1,0,100883
884,1,0,100884
885,1,0,100885
886,1,0,100886
887,1,0,100887
888,1,0.9921317810634462,100888
889,1,0,100889
890,1,0,100890
891,1,1,100891
892,1,0.974536425295966,100892
893,1,0.9093562936875706,100893
894,1,0,100894
895,1,0,100895
896,1,0,100896
897,1,0,100897
898,1,0,100898
899,1,0.9925942702882644,100899
900,1,0.990253573326179,100900
901,1,0,100901
902,1,0,100902
903,1,0,100903
904,1,0,100904
905,1,0.9919756739181359,100905
906,1,0,100906
907,1,0.918430777883351,100907
908,1,0,100908
