WP4,campaign,value,pu
1671,1,0.12439517889388586,101671
1672,1,0.9196112273702578,101672
1673,1,0.8289759556710455,101673
1674,1,0.5242155963340528,101674
1675,1,0.20973016494026372,101675
1676,1,0.5297121446843921,101676
1677,1,0.19687166796239183,101677
1678,1,0.11868978856303916,101678
1679,1,0.057530100070266516,101679
1680,1,0.1634208940764371,101680
1681,1,0.18437589881343577,101681
1682,1,0.47724465950445477,101682
1683,1,0,101683
1684,1,0.10570160163569355,101684
1685,1,0,101685
1686,1,0.07009229229125795,101686
1687,1,0,101687
1688,1,0.017573190684618364,101688
1689,1,0,101689
1690,1,0,101690
1691,1,0.038080729187074676,101691
1692,1,0.027073475775144972,101692
1693,1,0.05134296062898822,101693
1694,1,0.005211678992476651,101694
1695,1,0,101695
1696,1,0.08703787680567832,101696
1697,1,0.02893661504636075,101697
1698,1,0.028360919684772765,101698
1699,1,0.02406757231759376,101699
1700,1,0,101700
1701,1,0.175958001709215,101701
1702,1,0.14280800833208154,101702
1703,1,0.08972577439850422,101703
1704,1,0.03270949290669475,101704
1705,1,0,101705
1706,1,0.023391386250956617,101706
1707,1,0,101707
1708,1,2.508110915459628e-4,101708
1709,1,0.2086815702765576,101709
1710,1,0.18238746582334056,101710
1711,1,0.02392608147675961,101711
1712,1,0.0753100604014557,101712
1713,1,0.12252090931035674,101713
1714,1,0.10883027859714225,101714
1715,1,0,101715
1716,1,0.0978237500528712,101716
1717,1,0.07441552573026064,101717
1718,1,0.04732407545460345,101718
1719,1,0.29473692146764746,101719
1720,1,0.09523589165206445,101720
1721,1,0.08693940319016871,101721
1722,1,0,101722
1723,1,0,101723
1724,1,0.0434124251983123,101724
1725,1,0.013484769062787798,101725
1726,1,0.14544764755468184,101726
1727,1,0.12763509780820154,101727
1728,1,0.12342270909764738,101728
1729,1,0.20885480103060614,101729
1730,1,0.00705597017531101,101730
1731,1,0.003859879183508794,101731
1732,1,0.1279338019687875,101732
1733,1,0.16912184210783252,101733
1734,1,0.008211017733484309,101734
1735,1,0,101735
1736,1,0.09247928207229161,101736
1737,1,0.050306171444412524,101737
1738,1,0.11958697037751928,101738
1740,1,0,101740
1741,1,0,101741
1742,1,0,101742
1743,1,0.08954420441671086,101743
1744,1,0,101744
1745,1,0,101745
1746,1,0,101746
1747,1,0.03149548944561836,101747
1748,1,0,101748
1749,1,0,101749
1750,1,0.16556739791695835,101750
1751,1,0.1599260897485089,101751
1752,1,0.18251243247245102,101752
1753,1,0,101753
1754,1,0.05969479671268877,101754
1755,1,0.1347813900875328,101755
1756,1,0,101756
1757,1,0,101757
1758,1,0.002030317992017306,101758
1759,1,0,101759
1760,1,0.11877373691644175,101760
1761,1,0.2107777306053922,101761
1762,1,0.044395758642733395,101762
1763,1,0.09809894724464947,101763
1764,1,0.03273190091343242,101764
1765,1,0,101765
1766,1,0.025937798737660868,101766
1767,1,0.09514181063516455,101767
1770,1,0.107840881267735,101770
1771,1,0.10916888546069985,101771
1772,1,0.05886934793169493,101772
1773,1,0,101773
1774,1,0,101774
1775,1,0.21446769350751416,101775
1776,1,0.20509957423299996,101776
1777,1,0.08517631763891041,101777
1778,1,0.013832238159869252,101778
1779,1,0,101779
1780,1,0.0028182611798600386,101780
1781,1,0,101781
1782,1,0,101782
1783,1,0,101783
1784,1,0,101784
1785,1,0.017081735382141593,101785
1786,1,0.011725834296429231,101786
1787,1,0.0025125019848126658,101787
1788,1,0.0334366779626561,101788
1789,1,0.12746558104511813,101789
1790,1,0,101790
1791,1,0.04349737368557303,101791
1792,1,0,101792
1793,1,0,101793
1794,1,0.008817403173586986,101794
1795,1,0.09322813879790702,101795
1796,1,0.08344587980585357,101796
1797,1,0.06046310500959656,101797
1798,1,0.08894121258830226,101798
1799,1,0.10225145485201892,101799
1800,1,0.08650923953899191,101800
1801,1,0.11665740148675571,101801
1802,1,0.0745770370258661,101802
1803,1,0.005750770831188089,101803
1804,1,0.0016070740360871404,101804
1805,1,0.10651757380429887,101805
1806,1,0,101806
1807,1,0,101807
1808,1,0,101808
1809,1,0.038688881492095296,101809
1810,1,0.10989632609368115,101810
1811,1,0.01639614840132078,101811
1812,1,0.05112834302837582,101812
1813,1,0.05188290273440474,101813
1814,1,0.019105262709943265,101814
1815,1,0.07952822626137156,101815
1816,1,0.16214729299813008,101816
1817,1,0.028565980578178867,101817
1818,1,0,101818
1819,1,0.019776605811883216,101819
1820,1,0.05668088893460211,101820
1821,1,0.021163006008655116,101821
1822,1,0.005016614276410605,101822
1823,1,0.12196588835192092,101823
1824,1,0.10413624419213839,101824
1825,1,0.038220123608179835,101825
1826,1,0.0819746448602853,101826
1827,1,0.09730755806807191,101827
1828,1,0.06943235648824458,101828
1829,1,0.10666553932669048,101829
1830,1,0.06584997717473558,101830
1831,1,0.0067765719243201746,101831
1832,1,0,101832
1833,1,0.012890436076766749,101833
1834,1,0.09186633095985997,101834
1835,1,0.10747210828722713,101835
1836,1,0.11296056323783037,101836
1837,1,0.10793271255692535,101837
1838,1,0.10368116684718025,101838
1839,1,0.08554039083137624,101839
1840,1,0.06212290666850926,101840
1841,1,0.1889231847931953,101841
1842,1,0.02487545873274628,101842
1843,1,0.001910943452212213,101843
1844,1,0,101844
1845,1,0,101845
1846,1,0,101846
1847,1,0.17027264406719292,101847
1848,1,0.12772223122092066,101848
1849,1,0.11244188219665367,101849
1850,1,0.2064546260062634,101850
1851,1,0.002364467263557003,101851
1852,1,0.1903456467736706,101852
1853,1,0.1330430612900907,101853
1854,1,0.12748247092034154,101854
1855,1,0,101855
1856,1,0,101856
1857,1,0.007158297517613399,101857
1858,1,0,101858
1859,1,0.05682898253223933,101859
1860,1,0.015586989262309808,101860
1861,1,0.1116750849964868,101861
1862,1,0.07305116078391462,101862
1863,1,0.022952090070140634,101863
1864,1,0.03893167889640874,101864
1865,1,0.21686157525837116,101865
1866,1,0.3455651862983249,101866
1867,1,0.2999319038447116,101867
1868,1,0.1629861971350375,101868
1869,1,0.07041315098428957,101869
1870,1,0.023478322389566122,101870
1871,1,0,101871
1872,1,0,101872
1873,1,0.20951358434756623,101873
1874,1,0.10236650560976418,101874
1875,1,0.012483502598941498,101875
1876,1,0.050850351693515684,101876
1877,1,0,101877
1878,1,0.014236862077817988,101878
1879,1,0.062491014422368374,101879
1880,1,0.040062730888270254,101880
1881,1,0,101881
1882,1,0,101882
1883,1,0.06744496415730908,101883
1884,1,0.24497258343683043,101884
1885,1,0.002468289454248264,101885
1886,1,0,101886
1887,1,0,101887
1894,1,0,101894
1895,1,0,101895
1896,1,0,101896
1897,1,0,101897
1898,1,0,101898
1899,1,0.13922263549865313,101899
1903,1,0,101903
1904,1,0.1079292222197473,101904
1905,1,0,101905
1906,1,0.11346597797744853,101906
1907,1,0,101907
