WP4,campaign,value,pu
1671,1,0.16063217097954352,101671
1672,1,0.3265533202945373,101672
1673,1,0.1316659273341933,101673
1674,1,0.13619742115882771,101674
1675,1,0.06325559526591855,101675
1676,1,0.13773006441440405,101676
1677,1,0.1002508851009651,101677
1678,1,0.1456798083003588,101678
1679,1,0.019816313332154594,101679
1680,1,0.1504246240223018,101680
1681,1,0.06390639062581978,101681
1682,1,0.13845955756872716,101682
1683,1,0,101683
1684,1,0.12013674643333493,101684
1685,1,0,101685
1686,1,0.046344216523476756,101686
1687,1,0,101687
1688,1,0.015753873370781782,101688
1689,1,0,101689
1690,1,0,101690
1691,1,0.023275759538738935,101691
1692,1,0.012680765024029527,101692
1693,1,0.05278396479510369,101693
1694,1,0.007630602203061502,101694
1695,1,0,101695
1696,1,0.09366386094722014,101696
1697,1,0.0432484654402169,101697
1698,1,0.05074644712706198,101698
1699,1,0.04132180963143682,101699
1700,1,0,101700
1701,1,0.14067923854112854,101701
1702,1,0.2562438467879197,101702
1703,1,0.06221291846274805,101703
1704,1,0.027991401861624826,101704
1705,1,0,101705
1706,1,0.015241876048299475,101706
1707,1,0,101707
1708,1,1.1645326392287839e-4,101708
1709,1,0.07405296061762301,101709
1710,1,0.11681411797501864,101710
1711,1,0.017813486896717294,101711
1712,1,0.0648163071276573,101712
1713,1,0.07563717231934707,101713
1714,1,0.07958881786164605,101714
1715,1,0,101715
1716,1,0.0933639409440352,101716
1717,1,0.06186077890905681,101717
1718,1,0.03375407149288694,101718
1719,1,0.14449773385519057,101719
1720,1,0.0792943592874877,101720
1721,1,0.05708931940819179,101721
1722,1,0,101722
1723,1,0,101723
1724,1,0.04552976589911868,101724
1725,1,0.020318151709983728,101725
1726,1,0.11485102607204797,101726
1727,1,0.11628836162803986,101727
1728,1,0.06796498159174705,101728
1729,1,0.08033410796032242,101729
1730,1,8.80523615623752e-4,101730
1731,1,0.002808023039843952,101731
1732,1,0.11933883950013685,101732
1733,1,0.2500792213755162,101733
1734,1,0.014552435008418274,101734
1735,1,0,101735
1736,1,0.07820345294055821,101736
1737,1,0.0366672987733287,101737
1738,1,0.09824388595718081,101738
1740,1,0,101740
1741,1,0,101741
1742,1,0,101742
1743,1,0.055489847831246414,101743
1744,1,0,101744
1745,1,0,101745
1746,1,0,101746
1747,1,0.017446721405570048,101747
1748,1,0,101748
1749,1,0,101749
1750,1,0.13204674858666332,101750
1751,1,0.09798385621198705,101751
1752,1,0.2380679449052609,101752
1753,1,0,101753
1754,1,0.13074892716026626,101754
1755,1,0.26382472963216447,101755
1756,1,0,101756
1757,1,0,101757
1758,1,0.004019644870565284,101758
1759,1,0,101759
1760,1,0.1316058663291237,101760
1761,1,0.17808215035927694,101761
1762,1,0.043715134373200855,101762
1763,1,0.05314919019759862,101763
1764,1,0.040985297808536734,101764
1765,1,0,101765
1766,1,0.03389515146102398,101766
1767,1,0.07924366756378139,101767
1770,1,0.11638434863424324,101770
1771,1,0.12668357623515095,101771
1772,1,0.1081630942307607,101772
1773,1,0,101773
1774,1,0,101774
1775,1,0.13896461590897746,101775
1776,1,0.15651532150083874,101776
