WP4,campaign,value,pu
1671,1,0.12952738535573946,101671
1672,1,0.9816737723339642,101672
1673,1,0.893948181759183,101673
1674,1,0.5708098544794177,101674
1675,1,0.22869423584650447,101675
1676,1,0.5739647043420163,101676
1677,1,0.21034684299757606,101677
1678,1,0.12561843773623896,101678
1679,1,0.0604481513144022,101679
1680,1,0.17448664992581192,101680
1681,1,0.19910710567853745,101681
1682,1,0.5243575029482106,101682
1683,1,0,101683
1684,1,0.11973102575870066,101684
1685,1,0,101685
1686,1,0.08228922148212511,101686
1687,1,0,101687
1688,1,0.02139471089102271,101688
1689,1,0,101689
1690,1,0,101690
1691,1,0.04844041244044818,101691
1692,1,0.03530889103546003,101692
1693,1,0.068423555778817,101693
1694,1,0.007025844391562803,101694
1695,1,0,101695
1696,1,0.11739041414250433,101696
1697,1,0.04012606137192533,101697
1698,1,0.03931885318423267,101698
1699,1,0.03339854509871675,101699
1700,1,0,101700
1701,1,0.2449948733341665,101701
1702,1,0.19560402363999724,101702
1703,1,0.1232516467681865,101703
1704,1,0.044810075453326076,101704
1705,1,0,101705
1706,1,0.03243744593223731,101706
1707,1,0,101707
1708,1,3.563896593248816e-4,101708
1709,1,0.3034647119635,101709
1710,1,0.26970411718179516,101710
1711,1,0.03693550895358924,101711
1712,1,0.11598220994623619,101712
1713,1,0.1874828953049406,101713
1714,1,0.16969272239321567,101714
1715,1,0,101715
1716,1,0.14943340547851156,101716
1717,1,0.11400141174942746,101717
1718,1,0.07307570625684996,101718
1719,1,0.4397269340534507,101719
1720,1,0.13948365074385827,101720
1721,1,0.1231614166184683,101721
1722,1,0,101722
1723,1,0,101723
1724,1,0.057441399651593186,101724
1725,1,0.01797704197490807,101725
1726,1,0.1912654070762698,101726
1727,1,0.16456148479789068,101727
1728,1,0.15667171648486256,101728
1729,1,0.25668847658026384,101729
1730,1,0.008827174635056452,101730
1731,1,0.004967090935101783,101731
1732,1,0.16910332555005628,101732
1733,1,0.22686190192231875,101733
1734,1,0.011390431549383706,101734
1735,1,0,101735
1736,1,0.13215714273572865,101736
1737,1,0.07239603379527047,101737
1738,1,0.1661968038324957,101738
1740,1,0,101740
1741,1,0,101741
1742,1,0,101742
1743,1,0.12942247545308075,101743
1744,1,0,101744
1745,1,0,101745
1746,1,0,101746
1747,1,0.045665416742451156,101747
1748,1,0,101748
1749,1,0,101749
1750,1,0.24402163170106678,101750
1751,1,0.2392912558062769,101751
1752,1,0.274360005718144,101752
1753,1,0,101753
1754,1,0.088381513107116,101754
1755,1,0.2001987030064073,101755
1756,1,0,101756
1757,1,0,101757
1758,1,0.00300266014341649,101758
1759,1,0,101759
1760,1,0.1774985425389284,101760
1761,1,0.29683188011335215,101761
1762,1,0.06482103866759037,101762
1763,1,0.14370718834634594,101763
1764,1,0.04798445528499131,101764
1765,1,0,101765
1766,1,0.038332711715332445,101766
1767,1,0.14166595793019046,101767
1770,1,0.1551498491629913,101770
1771,1,0.1550666460849877,101771
1772,1,0.08048678339536959,101772
1773,1,0,101773
1774,1,0,101774
1775,1,0.29496613001216804,101775
1776,1,0.28370382163125024,101776
1777,1,0.11774226522884959,101777
1778,1,0.018983739611606373,101778
1779,1,0,101779
1780,1,0.0038742931671246466,101780
1781,1,0,101781
1782,1,0,101782
1783,1,0,101783
1784,1,0,101784
1785,1,0.024722187824577666,101785
1786,1,0.01702594094451719,101786
1787,1,0.0037043606975592914,101787
1788,1,0.04873178982140481,101788
1789,1,0.1882897072179614,101789
1790,1,0,101790
1791,1,0.06356559968487707,101791
1792,1,0,101792
1793,1,0,101793
1794,1,0.013001651176327358,101794
1795,1,0.13838329421905401,101795
1796,1,0.12412291305528461,101796
1797,1,0.08510760162325895,101797
1798,1,0.12558225361052758,101798
1799,1,0.1466797936778198,101799
1800,1,0.12372573431960174,101800
1801,1,0.16944497073821532,101801
1802,1,0.10302679678894903,101802
1803,1,0.007891523338543035,101803
1804,1,0.0022008773343342803,101804
1805,1,0.14311363061913202,101805
1806,1,0,101806
1807,1,0,101807
1808,1,0,101808
1809,1,0.05204766261121867,101809
1810,1,0.14510003606935873,101810
1811,1,0.02319852797380969,101811
1812,1,0.07188483083947615,101812
1813,1,0.07362874008648548,101813
1814,1,0.027511320969976,101814
1815,1,0.11474904697667239,101815
1816,1,0.23438166684841313,101816
1817,1,0.041980679274580573,101817
1818,1,0,101818
1819,1,0.02891835160909196,101819
1820,1,0.08192943594135763,101820
1821,1,0.030409748262936947,101821
1822,1,0.007140039866055072,101822
1823,1,0.17546773175704677,101823
1824,1,0.14499855025865108,101824
1825,1,0.053487426069251484,101825
1826,1,0.1154780141488564,101826
1827,1,0.12890447310096953,101827
1828,1,0.08963613332130711,101828
1829,1,0.13765258496500016,101829
1830,1,0.08559327473266853,101830
1831,1,0.008337557696563368,101831
1832,1,0,101832
1833,1,0.015562953268362113,101833
1834,1,0.10843955003524774,101834
1835,1,0.12953514689633921,101835
1836,1,0.13432428627592802,101836
1837,1,0.13061958937548548,101837
1838,1,0.12490703509040231,101838
1839,1,0.10510599987705263,101839
1840,1,0.07883851208660715,101840
1841,1,0.2344613319967668,101841
1842,1,0.03187628681238701,101842
1843,1,0.0024472320713330733,101843
1844,1,0,101844
1845,1,0,101845
1846,1,0,101846
1847,1,0.2088872551855236,101847
1848,1,0.15769278488646157,101848
1849,1,0.13569300372566429,101849
1850,1,0.2447385400424909,101850
1851,1,0.0027989421051360062,101851
1852,1,0.21970662970924557,101852
1853,1,0.15495756235462943,101853
1854,1,0.14437334963381207,101854
1855,1,0,101855
1856,1,0,101856
1857,1,0.007962773458165547,101857
1858,1,0,101858
1859,1,0.06339970330935231,101859
1860,1,0.017909471169366146,101860
1861,1,0.1320003178640614,101861
1862,1,0.08443128189763852,101862
1863,1,0.0268691558728991,101863
1864,1,0.04644715183666434,101864
1865,1,0.2682970072213671,101865
1866,1,0.43253677241106053,101866
1867,1,0.3816420015929525,101867
1868,1,0.2101397815162099,101868
1869,1,0.09018466243057319,101869
1870,1,0.030191175898451793,101870
1871,1,0,101871
1872,1,0,101872
1873,1,0.26372221559964865,101873
1874,1,0.12471248082093647,101874
1875,1,0.015144877847449577,101875
1876,1,0.061163847599627306,101876
1877,1,0,101877
1878,1,0.017001534872034384,101878
1879,1,0.07434660692142077,101879
1880,1,0.0470123609898653,101880
1881,1,0,101881
1882,1,0,101882
1883,1,0.07514593442060147,101883
1884,1,0.2668275951827136,101884
1885,1,0.002588983238606252,101885
1886,1,0,101886
1887,1,0,101887
1894,1,0,101894
1895,1,0,101895
1896,1,0,101896
1897,1,0,101897
1898,1,0,101898
1899,1,0.15649154160939413,101899
1903,1,0,101903
1904,1,0.12720531534514842,101904
1905,1,0,101905
1906,1,0.13450955430978362,101906
1907,1,0,101907
1908,1,0,101908
1909,1,0.004777005542065239,101909
1910,1,0.0749073631288325,101910
1911,1,0,101911
1912,1,0,101912
1913,1,0,101913
1914,1,0,101914
1915,1,0,101915
1916,1,0,101916
1918,1,0.004922255808053163,101918
1919,1,0,101919
1920,1,0,101920
1921,1,0,101921
1922,1,0,101922
1923,1,0,101923
1924,1,0,101924
1925,1,0,101925
1931,1,0,101931
1932,1,0,101932
1934,1,0.05899866319626877,101934
1935,1,0.241839621222906,101935
1936,1,0.05162017550090532,101936
1937,1,0.16011588104241645,101937
1938,1,0.1855122316503261,101938
1939,1,0.0657019489659237,101939
1940,1,0.034561512689786335,101940
1945,1,0.10740380685903321,101945
1946,1,0.08770202783055739,101946
1947,1,0.04642291602289733,101947
1948,1,0.11414931811775951,101948
1949,1,0.16355782792211662,101949
1950,1,0.08286532785691385,101950
1951,1,0.14300849967884227,101951
1952,1,0.08728106464924297,101952
1953,1,0.06393280027482266,101953
1954,1,0.2609679254192004,101954
1955,1,0.10102065128433976,101955
1956,1,0.0747852594190965,101956
1957,1,0.03530299337974904,101957
1958,1,0.23025622050274389,101958
1959,1,0.12533050535619847,101959
1960,1,0.1753376189180132,101960
1961,1,0.04963621673148345,101961
1962,1,0.015969563938634208,101962
1963,1,0.050154122172200874,101963
1964,1,0.12293711121488625,101964
1965,1,0.2223545516696916,101965
1966,1,0.2259143560797712,101966
1972,1,0.055356229211228264,101972
1973,1,0.2092292880192578,101973
1974,1,0.36450206828960396,101974
1975,1,0.0556646225071147,101975
1976,1,0.25204546597508537,101976
1977,1,0,101977
1978,1,0.07917909423642958,101978
1979,1,0.3493109434621292,101979
1980,1,0.15714728990035307,101980
1981,1,0,101981
1982,1,0,101982
1983,1,0.06543818502631825,101983
1984,1,0,101984
1985,1,0,101985
1986,1,0,101986
1988,1,0,101988
1989,1,0.02352151738677625,101989
1990,1,0.006622665114785134,101990
1991,1,0.022103166368445528,101991
1992,1,0.05612663496524164,101992
1993,1,0.006087974753418982,101993
1994,1,0.17530341251488943,101994
1995,1,0.08015673770451494,101995
1996,1,0.2606425726294011,101996
1997,1,0.30402842297275723,101997
1998,1,0.2968020609421273,101998
1999,1,0.21826048005587279,101999
2000,1,0.1053616385264433,102000
2001,1,0,102001
2002,1,0.0853752323938542,102002
2003,1,0.12227956077026887,102003
2004,1,0.20789442782611697,102004
2005,1,0.0011726195676248518,102005
2006,1,0.02356390384169005,102006
2007,1,0.10140359234234417,102007
2008,1,0.05660055690437778,102008
2009,1,0.0858878734218036,102009
2010,1,0.20204417207522296,102010
2011,1,0.1496343904163542,102011
2012,1,0,102012
2013,1,0.2602107799317192,102013
2014,1,0.5405888195831408,102014
2015,1,0.1237615434114947,102015
2016,1,0.19521160783380836,102016
2017,1,0.08108381798477982,102017
2018,1,0.7615765996644035,102018
2019,1,0.49191530138802264,102019
2020,1,0,102020
2021,1,0,102021
2022,1,0.004117071475426665,102022
2023,1,0,102023
2024,1,0,102024
2025,1,0,102025
2026,1,0,102026
2027,1,0,102027
2028,1,0,102028
2037,1,0,102037
2038,1,0,102038
2039,1,0,102039
2040,1,0,102040
2044,1,0.010735711116597919,102044
2047,1,0.22501699905500241,102047
2048,1,0.12287192104437049,102048
2049,1,0,102049
2050,1,0,102050
2051,1,0,102051
2052,1,0,102052
2053,1,0,102053
2054,1,0.18503231282086685,102054
2055,1,0.018539122084887685,102055
2056,1,0,102056
2057,1,0.09389048708757768,102057
2058,1,0,102058
2059,1,0,102059
2060,1,0,102060
2061,1,0,102061
2062,1,0,102062
2063,1,0,102063
2064,1,0,102064
2065,1,0,102065
2066,1,0,102066
2067,1,0.02720438200877305,102067
2068,1,0.049467257690404325,102068
2069,1,0.031959776973800265,102069
2070,1,0.0011273363913241298,102070
2071,1,0,102071
2072,1,0,102072
2073,1,0,102073
2074,1,0,102074
2075,1,0,102075
2076,1,0,102076
2077,1,0,102077
2083,1,0,102083
2084,1,0.0014715248397934517,102084
2085,1,0,102085
2088,1,0,102088
2089,1,0,102089
2090,1,0,102090
