WP4,campaign,value,pu
1671,1,-0,101671
1672,1,-0,101672
1673,1,-0,101673
1674,1,0.0018820735008047453,101674
1675,1,-0,101675
1676,1,0.29435107982378245,101676
1677,1,-0,101677
1678,1,-0,101678
1679,1,-0,101679
1680,1,-0,101680
1681,1,-0,101681
1682,1,-0,101682
1683,1,-0,101683
1684,1,-0,101684
1685,1,-0,101685
1686,1,-0,101686
1687,1,-0,101687
1688,1,-0,101688
1689,1,-0,101689
1690,1,-0,101690
1691,1,-0,101691
1692,1,-0,101692
1693,1,-0,101693
1694,1,-0,101694
1695,1,-0,101695
1696,1,-0,101696
1697,1,-0,101697
1698,1,-0,101698
1699,1,-0,101699
1700,1,-0,101700
1701,1,-0,101701
1702,1,-0,101702
1703,1,-0,101703
1704,1,-0,101704
1705,1,-0,101705
1706,1,-0,101706
1707,1,-0,101707
1708,1,-0,101708
1709,1,-0,101709
1710,1,-0,101710
1711,1,-0,101711
1712,1,-0,101712
1713,1,-0,101713
1714,1,-0,101714
1715,1,-0,101715
1716,1,-0,101716
1717,1,-0,101717
1718,1,-0,101718
1719,1,-0,101719
1720,1,-0,101720
1721,1,-0,101721
1722,1,-0,101722
1723,1,-0,101723
1724,1,-0,101724
1725,1,-0,101725
1726,1,-0,101726
1727,1,-0,101727
1728,1,-0,101728
1729,1,-0,101729
1730,1,-0,101730
1731,1,-0,101731
1732,1,-0,101732
1733,1,-0,101733
1734,1,-0,101734
1735,1,-0,101735
1736,1,-0,101736
1737,1,-0,101737
1738,1,-0,101738
1740,1,-0,101740
1741,1,-0,101741
1742,1,-0,101742
1743,1,-0,101743
1744,1,-0,101744
1745,1,-0,101745
1746,1,-0,101746
1747,1,-0,101747
1748,1,-0,101748
1749,1,-0,101749
1750,1,-0,101750
1751,1,-0,101751
1752,1,-0,101752
1753,1,-0,101753
1754,1,-0,101754
1755,1,-0,101755
1756,1,-0,101756
1757,1,-0,101757
1758,1,-0,101758
1759,1,-0,101759
1760,1,-0,101760
1761,1,-0,101761
1762,1,-0,101762
1763,1,-0,101763
1764,1,-0,101764
1765,1,-0,101765
1766,1,-0,101766
1767,1,-0,101767
1770,1,-0,101770
1771,1,-0,101771
1772,1,-0,101772
1773,1,-0,101773
1774,1,-0,101774
1775,1,-0,101775
1776,1,-0,101776
1777,1,-0,101777
1778,1,-0,101778
1779,1,-0,101779
1780,1,-0,101780
1781,1,-0,101781
1782,1,-0,101782
1783,1,-0,101783
1784,1,-0,101784
1785,1,-0,101785
1786,1,-0,101786
1787,1,-0,101787
1788,1,-0,101788
1789,1,-0,101789
1790,1,-0,101790
1791,1,-0,101791
1792,1,-0,101792
1793,1,-0,101793
1794,1,-0,101794
1795,1,-0,101795
1796,1,-0,101796
1797,1,-0,101797
1798,1,-0,101798
1799,1,-0,101799
1800,1,-0,101800
1801,1,-0,101801
1802,1,-0,101802
1803,1,-0,101803
1804,1,-0,101804
1805,1,-0,101805
1806,1,-0,101806
1807,1,-0,101807
1808,1,-0,101808
1809,1,-0,101809
1810,1,-0,101810
1811,1,-0,101811
1812,1,-0,101812
1813,1,-0,101813
1814,1,-0,101814
1815,1,-0,101815
1816,1,-0,101816
1817,1,-0,101817
1818,1,-0,101818
1819,1,-0,101819
1820,1,-0,101820
1821,1,-0,101821
1822,1,-0,101822
1823,1,-0,101823
1824,1,-0,101824
1825,1,-0,101825
1826,1,-0,101826
1827,1,-0,101827
1828,1,-0,101828
1829,1,-0,101829
1830,1,-0,101830
1831,1,-0,101831
1832,1,-0,101832
1833,1,-0,101833
1834,1,-0,101834
1835,1,-0,101835
1836,1,-0,101836
1837,1,-0,101837
1838,1,-0,101838
1839,1,-0,101839
1840,1,-0,101840
1841,1,-0,101841
1842,1,-0,101842
1843,1,-0,101843
1844,1,-0,101844
1845,1,-0,101845
1846,1,-0,101846
1847,1,-0,101847
1848,1,-0,101848
1849,1,-0,101849
1850,1,-0,101850
1851,1,-0,101851
1852,1,-0,101852
1853,1,-0,101853
1854,1,-0,101854
1855,1,-0,101855
1856,1,-0,101856
1857,1,-0,101857
1858,1,-0,101858
1859,1,-0,101859
1860,1,-0,101860
1861,1,-0,101861
1862,1,-0,101862
1863,1,-0,101863
1864,1,-0,101864
1865,1,-0,101865
1866,1,-0,101866
1867,1,-0,101867
1868,1,-0,101868
1869,1,-0,101869
1870,1,-0,101870
