WP4,campaign,value,pu
1671,1,0.16085507164717724,101671
1672,1,0.3333508629530841,101672
1673,1,0.13594377326649468,101673
1674,1,0.1422348983034413,101674
1675,1,0.06607990296750892,101675
1676,1,0.14284939742120717,101676
1677,1,0.10243863436680994,101677
1678,1,0.1477681328710187,101678
1679,1,0.01993430758176322,101679
1680,1,0.15415178542745478,101680
1681,1,0.06601131988500136,101681
1682,1,0.14595762717150357,101682
1683,1,0,101683
1684,1,0.13019727355301128,101684
1685,1,0,101685
1686,1,0.05208248630371781,101686
1687,1,0,101687
1688,1,0.018364078180048735,101688
1689,1,0,101689
1690,1,0,101690
1691,1,0.028385963860351124,101691
1692,1,0.01584765915866548,101692
1693,1,0.06760886629448615,101693
1694,1,0.009857053831818788,101694
1695,1,0,101695
1696,1,0.12102773479262308,101696
1697,1,0.05742605556475128,101697
1698,1,0.06738067742088957,101698
1699,1,0.054918108751122414,101699
1700,1,0,101700
1701,1,0.18741214990892824,101701
1702,1,0.3359659245724298,101702
1703,1,0.08175892543059822,101703
1704,1,0.036605885376224556,101704
1705,1,0,101705
1706,1,0.02020736551231174,101706
1707,1,0,101707
1708,1,1.5848839762345335e-4,101708
1709,1,0.10309133488343944,101709
1710,1,0.16560299270757825,101710
1711,1,0.026318977618745496,101711
1712,1,0.09575420314229922,101712
1713,1,0.11078476017311663,101713
1714,1,0.11890840845454395,101714
1715,1,0,101715
1716,1,0.13678971148629526,101716
1717,1,0.09101572487229787,101717
1718,1,0.0499042480459179,101718
1719,1,0.20654961525604373,101719
1720,1,0.11135695534520733,101720
1721,1,0.07760759664596571,101721
1722,1,0,101722
1723,1,0,101723
1724,1,0.05773992894238033,101724
1725,1,0.025938195209768058,101725
1726,1,0.14482487362386953,101726
1727,1,0.1436300252163692,101727
1728,1,0.08229643654639478,101728
1729,1,0.09471755766693847,101729
1730,1,0.0010562956958491037,101730
1731,1,0.003458697763922561,101731
1732,1,0.15133972611670715,101732
1733,1,0.32085924817032985,101733
1734,1,0.019337419645314966,101734
1735,1,0,101735
1736,1,0.10715895499299594,101736
1737,1,0.05051145148153089,101737
1738,1,0.13081590172509788,101738
1740,1,0,101740
1741,1,0,101741
1742,1,0,101742
1743,1,0.07682822489893282,101743
1744,1,0,101744
1745,1,0,101745
1746,1,0,101746
1747,1,0.02422995751986095,101747
1748,1,0,101748
1749,1,0,101749
1750,1,0.1865477318771233,101750
1751,1,0.14037047633017366,101751
1752,1,0.34280101632318755,101752
1753,1,0,101753
1754,1,0.18569204297200828,101754
1755,1,0.3758835684328165,101755
1756,1,0,101756
1757,1,0,101757
1758,1,0.005692979013330029,101758
1759,1,0,101759
1760,1,0.18828756855705925,101760
1761,1,0.24072003350500226,101761
1762,1,0.06109394039623836,101762
1763,1,0.07449886733107249,101763
1764,1,0.05752789129805513,101764
1765,1,0,101765
1766,1,0.04795576668283685,101766
1767,1,0.11305339515447257,101767
1770,1,0.16037677422889873,101770
1771,1,0.17239141696883545,101771
1772,1,0.14155240334644906,101772
1773,1,0,101773
1774,1,0,101774
1775,1,0.18237671820833656,101775
1776,1,0.20655106501289414,101776
1777,1,0.10491711094730422,101777
1778,1,0.016974554546761996,101778
1779,1,0,101779
1780,1,0.013973784199802332,101780
1781,1,0,101781
1782,1,0,101782
1783,1,0,101783
1784,1,0,101784
1785,1,0.033698250182427225,101785
1786,1,0.034196051010373776,101786
1787,1,0.0018950157169852942,101787
1788,1,0.09111484868350465,101788
1789,1,0.13042138638730555,101789
1790,1,0,101790
1791,1,0.035460956725702084,101791
1792,1,0,101792
1793,1,0,101793
1794,1,0.013136242743306823,101794
1795,1,0.10889343511703035,101795
1796,1,0.11264578510712582,101796
1797,1,0.07012808695568998,101797
1798,1,0.09976081316082826,101798
1799,1,0.09158476972886978,101799
1800,1,0.05402390851318979,101800
1801,1,0.16017682400877764,101801
1802,1,0.08820060904183333,101802
1803,1,0.014310727266609041,101803
1804,1,0.002121277698565524,101804
1805,1,0.12176768375632904,101805
1806,1,0,101806
1807,1,0,101807
1808,1,0,101808
1809,1,0.09897667006213585,101809
1810,1,0.19502962710661317,101810
1811,1,0.026822455131743368,101811
1812,1,0.01842032507557337,101812
1813,1,0.013682878559392398,101813
1814,1,0.08339489753325544,101814
1815,1,0.20794812289591677,101815
1816,1,0.47916960097147326,101816
1817,1,0.04545496466246223,101817
1818,1,0,101818
1819,1,0.1253137767781483,101819
1820,1,0.12576633540497467,101820
1821,1,0.09005090455172614,101821
1822,1,0.011746360239126034,101822
1823,1,0.23757532738298068,101823
1824,1,0.018297462770340934,101824
1825,1,0.014477414640738007,101825
1826,1,0.05498636150928431,101826
1827,1,0.1291353276796201,101827
1828,1,0.031454287575037126,101828
1829,1,0.11631877569269641,101829
1830,1,0.019523512555231784,101830
1831,1,0.01242781120806287,101831
1832,1,0,101832
1833,1,0.004540157242177663,101833
1834,1,0.053242348877126706,101834
1835,1,0.011090621554132126,101835
1836,1,0.0433432949164692,101836
1837,1,0.08237476215806008,101837
1838,1,0.06891502788935586,101838
1839,1,0.041280358206656646,101839
1840,1,0.052083507862342344,101840
1841,1,0.12671245977538997,101841
1842,1,0.02463041869587512,101842
1843,1,0.0018104159817916412,101843
1844,1,0,101844
1845,1,0,101845
1846,1,0,101846
1847,1,0.20772911581570597,101847
1848,1,0.09395775661786628,101848
