WP4,campaign,value,pu
7401,1,0.6916286260552622,107401
7227,1,0,107227
7228,1,0,107228
7229,1,0,107229
7230,1,0,107230
7231,1,0,107231
7232,1,0,107232
7233,1,0,107233
7234,1,0,107234
7235,1,0.00419540053620888,107235
7236,1,0.025608795080973846,107236
7237,1,0.03984061406264641,107237
7238,1,0.0017118801284320985,107238
7239,1,0,107239
7240,1,0,107240
7241,1,0,107241
7242,1,0.024213766518386057,107242
7243,1,0.005854559825248212,107243
7244,1,0.06399946913758195,107244
7245,1,0.11203336028073033,107245
7246,1,0.10243935635146555,107246
7247,1,0.21456931744336538,107247
7248,1,0.1430518385042092,107248
7249,1,0.1401978646217947,107249
7250,1,0.5155054266761651,107250
7251,1,0.2173232341276294,107251
7252,1,0.14718288325715934,107252
7253,1,0.14081488325604893,107253
7254,1,0.48532175114902953,107254
7255,1,0.47462926036639214,107255
7256,1,0.8196030346944929,107256
7257,1,0.7485608097195556,107257
7258,1,0.7508147270623587,107258
7259,1,0.8461457256231335,107259
7260,1,0.9437774030782058,107260
7261,1,0.7638779296872009,107261
7262,1,0.16140501198410534,107262
7263,1,0.7525548406373039,107263
7264,1,0.7629492961170504,107264
7265,1,0.31607135625983435,107265
7266,1,0.023846921807457813,107266
7267,1,0.4157730836415038,107267
7268,1,0.14885722892391587,107268
7269,1,0.08321804588000836,107269
7270,1,0.47829759130727756,107270
7271,1,0.2635777377255631,107271
7272,1,0.356430135685608,107272
7273,1,0.09974227015222328,107273
7274,1,0.32397042857718544,107274
7275,1,0.3049984426419437,107275
7276,1,0.17650393903725123,107276
7277,1,0.2941124937612856,107277
7278,1,0.14559056907417167,107278
7279,1,0.30051416751072185,107279
7280,1,0.024903699680265193,107280
7281,1,0.7681939612972736,107281
7282,1,1,107282
7283,1,0.8963093500926894,107283
7284,1,0.8853557384011592,107284
7285,1,0.1703999188945443,107285
7286,1,0.7481254271630766,107286
7287,1,0.6706297112989182,107287
7288,1,0.8077642861997467,107288
7289,1,0.92765531457072,107289
7290,1,0.84660414422187,107290
7291,1,0.7628119352853379,107291
7292,1,0.006981394784850344,107292
7293,1,0.058175454057342924,107293
7294,1,0.0230209599787305,107294
7295,1,0.0840149595747632,107295
7296,1,0.07177819552168023,107296
7297,1,0,107297
7298,1,0.013653161565997243,107298
7299,1,0,107299
7300,1,0.02861358722498733,107300
7301,1,0,107301
7302,1,0,107302
7303,1,0,107303
7304,1,0,107304
7305,1,0,107305
7306,1,0,107306
7307,1,0.0013193063805885818,107307
7308,1,0.08670014982841634,107308
7309,1,0.05583348408697312,107309
7310,1,0.006595857522768104,107310
7311,1,0.12287220061338332,107311
7312,1,0,107312
7313,1,0,107313
7314,1,0,107314
7315,1,0,107315
7316,1,0.005786777828618131,107316
7317,1,0,107317
7318,1,0.007224271220691919,107318
7319,1,0.0042824710127827735,107319
7320,1,0.06436257986432084,107320
7321,1,0,107321
7322,1,0,107322
7323,1,0,107323
7324,1,0,107324
7325,1,0,107325
7326,1,0,107326
7327,1,0,107327
7328,1,0,107328
7329,1,0,107329
7330,1,0,107330
7331,1,0,107331
7332,1,0,107332
7333,1,0,107333
7334,1,0,107334
7335,1,0,107335
7336,1,0,107336
7337,1,0,107337
7338,1,0,107338
7339,1,0,107339
7340,1,0,107340
7341,1,0,107341
7342,1,0,107342
7343,1,0,107343
7344,1,0,107344
7345,1,0,107345
7346,1,0,107346
7347,1,0,107347
7348,1,0,107348
7349,1,0,107349
7350,1,0.11995655639896544,107350
7351,1,0.06243363682306934,107351
7352,1,0,107352
7353,1,0.020904545283605098,107353
7354,1,0,107354
7355,1,0.004128439261760217,107355
7356,1,0,107356
7357,1,0.01327963038317921,107357
7358,1,0.06554822771509619,107358
7359,1,0,107359
7401,2,0.6916286260552622,207401
7227,2,0,207227
7228,2,0,207228
7229,2,0,207229
7230,2,0,207230
7231,2,0,207231
7232,2,0,207232
7233,2,0,207233
7234,2,0,207234
7235,2,0.00419540053620888,207235
7236,2,0.025608795080973846,207236
7237,2,0.03984061406264641,207237
7238,2,0.0017118801284320985,207238
7239,2,0,207239
7240,2,0,207240
7241,2,0,207241
7242,2,0.024213766518386057,207242
7243,2,0.005854559825248212,207243
7244,2,0.06399946913758195,207244
7245,2,0.11203336028073033,207245
7246,2,0.10243935635146555,207246
7247,2,0.21456931744336538,207247
7248,2,0.1430518385042092,207248
7249,2,0.1401978646217947,207249
7250,2,0.5155054266761651,207250
7251,2,0.2173232341276294,207251
7252,2,0.14718288325715934,207252
7253,2,0.14081488325604893,207253
7254,2,0.48532175114902953,207254
7255,2,0.47462926036639214,207255
7256,2,0.8196030346944929,207256
7257,2,0.7485608097195556,207257
7258,2,0.7508147270623587,207258
7259,2,0.8461457256231335,207259
7260,2,0.9437774030782058,207260
7261,2,0.7638779296872009,207261
7262,2,0.16140501198410534,207262
7263,2,0.7525548406373039,207263
7264,2,0.7629492961170504,207264
7265,2,0.31607135625983435,207265
7266,2,0.023846921807457813,207266
7267,2,0.4157730836415038,207267
7268,2,0.14885722892391587,207268
7269,2,0.08321804588000836,207269
7270,2,0.47829759130727756,207270
7271,2,0.2635777377255631,207271
7272,2,0.356430135685608,207272
7273,2,0.09974227015222328,207273
7274,2,0.32397042857718544,207274
7275,2,0.3049984426419437,207275
7276,2,0.17650393903725123,207276
7277,2,0.2941124937612856,207277
7278,2,0.14559056907417167,207278
7279,2,0.30051416751072185,207279
7280,2,0.024903699680265193,207280
7281,2,0.7681939612972736,207281
7282,2,1,207282
7283,2,0.8963093500926894,207283
7284,2,0.8853557384011592,207284
7285,2,0.1703999188945443,207285
7286,2,0.7481254271630766,207286
7287,2,0.6706297112989182,207287
7288,2,0.8077642861997467,207288
7289,2,0.92765531457072,207289
7290,2,0.84660414422187,207290
7291,2,0.7628119352853379,207291
7292,2,0.006981394784850344,207292
7293,2,0.058175454057342924,207293
7294,2,0.0230209599787305,207294
7295,2,0.0840149595747632,207295
7296,2,0.07177819552168023,207296
7297,2,0,207297
7298,2,0.013653161565997243,207298
7299,2,0,207299
7300,2,0.02861358722498733,207300
7301,2,0,207301
7302,2,0,207302
7303,2,0,207303
7304,2,0,207304
7305,2,0,207305
7306,2,0,207306
7307,2,0.0013193063805885818,207307
7308,2,0.08670014982841634,207308
7309,2,0.05583348408697312,207309
7310,2,0.006595857522768104,207310
7311,2,0.12287220061338332,207311
7312,2,0,207312
7313,2,0,207313
7314,2,0,207314
7315,2,0,207315
7316,2,0.005786777828618131,207316
7317,2,0,207317
7318,2,0.007224271220691919,207318
7319,2,0.0042824710127827735,207319
7320,2,0.06436257986432084,207320
7321,2,0,207321
7322,2,0,207322
7323,2,0,207323
7324,2,0,207324
7325,2,0,207325
7326,2,0,207326
7327,2,0,207327
7328,2,0,207328
7329,2,0,207329
7330,2,0,207330
7331,2,0,207331
7332,2,0,207332
7333,2,0,207333
7334,2,0,207334
7335,2,0,207335
7336,2,0,207336
7337,2,0,207337
7338,2,0,207338
7339,2,0,207339
7340,2,0,207340
7341,2,0,207341
7342,2,0,207342
7343,2,0,207343
7344,2,0,207344
7345,2,0,207345
7346,2,0,207346
7347,2,0,207347
7348,2,0,207348
7349,2,0,207349
7350,2,0.11995655639896544,207350
7351,2,0.06243363682306934,207351
7352,2,0,207352
7353,2,0.020904545283605098,207353
7354,2,0,207354
7355,2,0.004128439261760217,207355
7356,2,0,207356
7357,2,0.01327963038317921,207357
7358,2,0.06554822771509619,207358
7359,2,0,207359
7401,3,0.6916286260552622,307401
7227,3,0,307227
7228,3,0,307228
7229,3,0,307229
7230,3,0,307230
7231,3,0,307231
7232,3,0,307232
7233,3,0,307233
7234,3,0,307234
7235,3,0.00419540053620888,307235
7236,3,0.025608795080973846,307236
7237,3,0.03984061406264641,307237
7238,3,0.0017118801284320985,307238
7239,3,0,307239
7240,3,0,307240
7241,3,0,307241
7242,3,0.024213766518386057,307242
7243,3,0.005854559825248212,307243
7244,3,0.06399946913758195,307244
7245,3,0.11203336028073033,307245
7246,3,0.10243935635146555,307246
7247,3,0.21456931744336538,307247
7248,3,0.1430518385042092,307248
7249,3,0.1401978646217947,307249
7250,3,0.5155054266761651,307250
7251,3,0.2173232341276294,307251
7252,3,0.14718288325715934,307252
7253,3,0.14081488325604893,307253
7254,3,0.48532175114902953,307254
7255,3,0.47462926036639214,307255
7256,3,0.8196030346944929,307256
7257,3,0.7485608097195556,307257
7258,3,0.7508147270623587,307258
7259,3,0.8461457256231335,307259
7260,3,0.9437774030782058,307260
7261,3,0.7638779296872009,307261
7262,3,0.16140501198410534,307262
7263,3,0.7525548406373039,307263
7264,3,0.7629492961170504,307264
7265,3,0.31607135625983435,307265
7266,3,0.023846921807457813,307266
7267,3,0.4157730836415038,307267
7268,3,0.14885722892391587,307268
7269,3,0.08321804588000836,307269
7270,3,0.47829759130727756,307270
7271,3,0.2635777377255631,307271
7272,3,0.356430135685608,307272
7273,3,0.09974227015222328,307273
7274,3,0.32397042857718544,307274
7275,3,0.3049984426419437,307275
7276,3,0.17650393903725123,307276
7277,3,0.2941124937612856,307277
7278,3,0.14559056907417167,307278
7279,3,0.30051416751072185,307279
7280,3,0.024903699680265193,307280
7281,3,0.7681939612972736,307281
7282,3,1,307282
7283,3,0.8963093500926894,307283
7284,3,0.8853557384011592,307284
7285,3,0.1703999188945443,307285
7286,3,0.7481254271630766,307286
7287,3,0.6706297112989182,307287
7288,3,0.8077642861997467,307288
7289,3,0.92765531457072,307289
7290,3,0.84660414422187,307290
7291,3,0.7628119352853379,307291
7292,3,0.006981394784850344,307292
7293,3,0.058175454057342924,307293
7294,3,0.0230209599787305,307294
7295,3,0.0840149595747632,307295
7296,3,0.07177819552168023,307296
7297,3,0,307297
7298,3,0.013653161565997243,307298
7299,3,0,307299
7300,3,0.02861358722498733,307300
7301,3,0,307301
7302,3,0,307302
7303,3,0,307303
7304,3,0,307304
7305,3,0,307305
7306,3,0,307306
7307,3,0.0013193063805885818,307307
7308,3,0.08670014982841634,307308
7309,3,0.05583348408697312,307309
7310,3,0.006595857522768104,307310
7311,3,0.12287220061338332,307311
7312,3,0,307312
7313,3,0,307313
7314,3,0,307314
7315,3,0,307315
7316,3,0.005786777828618131,307316
7317,3,0,307317
7318,3,0.007224271220691919,307318
7319,3,0.0042824710127827735,307319
7320,3,0.06436257986432084,307320
7321,3,0,307321
7322,3,0,307322
7323,3,0,307323
7324,3,0,307324
7325,3,0,307325
7326,3,0,307326
7327,3,0,307327
7328,3,0,307328
7329,3,0,307329
7330,3,0,307330
7331,3,0,307331
7332,3,0,307332
7333,3,0,307333
7334,3,0,307334
7335,3,0,307335
7336,3,0,307336
7337,3,0,307337
7338,3,0,307338
7339,3,0,307339
7340,3,0,307340
7341,3,0,307341
7342,3,0,307342
7343,3,0,307343
7344,3,0,307344
7345,3,0,307345
7346,3,0,307346
7347,3,0,307347
7348,3,0,307348
7349,3,0,307349
7350,3,0.11995655639896544,307350
7351,3,0.06243363682306934,307351
7352,3,0,307352
7353,3,0.020904545283605098,307353
7354,3,0,307354
7355,3,0.004128439261760217,307355
7356,3,0,307356
7357,3,0.01327963038317921,307357
7358,3,0.06554822771509619,307358
7359,3,0,307359
7401,4,0.6916286260552622,407401
7227,4,0,407227
7228,4,0,407228
7229,4,0,407229
7230,4,0,407230
7231,4,0,407231
7232,4,0,407232
7233,4,0,407233
7234,4,0,407234
7235,4,0.00419540053620888,407235
7236,4,0.025608795080973846,407236
7237,4,0.03984061406264641,407237
7238,4,0.0017118801284320985,407238
7239,4,0,407239
7240,4,0,407240
7241,4,0,407241
7242,4,0.024213766518386057,407242
7243,4,0.005854559825248212,407243
7244,4,0.06399946913758195,407244
7245,4,0.11203336028073033,407245
7246,4,0.10243935635146555,407246
7247,4,0.21456931744336538,407247
7248,4,0.1430518385042092,407248
7249,4,0.1401978646217947,407249
7250,4,0.5155054266761651,407250
7251,4,0.2173232341276294,407251
7252,4,0.14718288325715934,407252
7253,4,0.14081488325604893,407253
7254,4,0.48532175114902953,407254
7255,4,0.47462926036639214,407255
7256,4,0.8196030346944929,407256
7257,4,0.7485608097195556,407257
7258,4,0.7508147270623587,407258
7259,4,0.8461457256231335,407259
7260,4,0.9437774030782058,407260
7261,4,0.7638779296872009,407261
7262,4,0.16140501198410534,407262
7263,4,0.7525548406373039,407263
7264,4,0.7629492961170504,407264
7265,4,0.31607135625983435,407265
7266,4,0.023846921807457813,407266
7267,4,0.4157730836415038,407267
7268,4,0.14885722892391587,407268
7269,4,0.08321804588000836,407269
7270,4,0.47829759130727756,407270
7271,4,0.2635777377255631,407271
7272,4,0.356430135685608,407272
7273,4,0.09974227015222328,407273
7274,4,0.32397042857718544,407274
7275,4,0.3049984426419437,407275
7276,4,0.17650393903725123,407276
7277,4,0.2941124937612856,407277
7278,4,0.14559056907417167,407278
7279,4,0.30051416751072185,407279
7280,4,0.024903699680265193,407280
7281,4,0.7681939612972736,407281
7282,4,1,407282
7283,4,0.8963093500926894,407283
7284,4,0.8853557384011592,407284
7285,4,0.1703999188945443,407285
7286,4,0.7481254271630766,407286
7287,4,0.6706297112989182,407287
7288,4,0.8077642861997467,407288
7289,4,0.92765531457072,407289
7290,4,0.84660414422187,407290
7291,4,0.7628119352853379,407291
7292,4,0.006981394784850344,407292
7293,4,0.058175454057342924,407293
7294,4,0.0230209599787305,407294
7295,4,0.0840149595747632,407295
7296,4,0.07177819552168023,407296
7297,4,0,407297
7298,4,0.013653161565997243,407298
7299,4,0,407299
7300,4,0.02861358722498733,407300
7301,4,0,407301
7302,4,0,407302
7303,4,0,407303
7304,4,0,407304
7305,4,0,407305
7306,4,0,407306
7307,4,0.0013193063805885818,407307
7308,4,0.08670014982841634,407308
7309,4,0.05583348408697312,407309
7310,4,0.006595857522768104,407310
7311,4,0.12287220061338332,407311
7312,4,0,407312
7313,4,0,407313
7314,4,0,407314
7315,4,0,407315
7316,4,0.005786777828618131,407316
7317,4,0,407317
7318,4,0.007224271220691919,407318
7319,4,0.0042824710127827735,407319
7320,4,0.06436257986432084,407320
7321,4,0,407321
7322,4,0,407322
7323,4,0,407323
7324,4,0,407324
7325,4,0,407325
7326,4,0,407326
7327,4,0,407327
7328,4,0,407328
7329,4,0,407329
7330,4,0,407330
7331,4,0,407331
7332,4,0,407332
7333,4,0,407333
7334,4,0,407334
7335,4,0,407335
7336,4,0,407336
7337,4,0,407337
7338,4,0,407338
7339,4,0,407339
7340,4,0,407340
7341,4,0,407341
7342,4,0,407342
7343,4,0,407343
7344,4,0,407344
7345,4,0,407345
7346,4,0,407346
7347,4,0,407347
7348,4,0,407348
7349,4,0,407349
7350,4,0.11995655639896544,407350
7351,4,0.06243363682306934,407351
7352,4,0,407352
7353,4,0.020904545283605098,407353
7354,4,0,407354
7355,4,0.004128439261760217,407355
7356,4,0,407356
7357,4,0.01327963038317921,407357
7358,4,0.06554822771509619,407358
7359,4,0,407359
7401,5,0.6916286260552622,507401
7227,5,0,507227
7228,5,0,507228
7229,5,0,507229
7230,5,0,507230
7231,5,0,507231
7232,5,0,507232
7233,5,0,507233
7234,5,0,507234
7235,5,0.00419540053620888,507235
7236,5,0.025608795080973846,507236
7237,5,0.03984061406264641,507237
7238,5,0.0017118801284320985,507238
7239,5,0,507239
7240,5,0,507240
7241,5,0,507241
7242,5,0.024213766518386057,507242
7243,5,0.005854559825248212,507243
