WP4,campaign,value,pu
7401,1,0,107401
7227,1,0.08428720083246619,107227
7228,1,0.08428720083246619,107228
7229,1,0.08428720083246619,107229
7230,1,0.08428720083246619,107230
7231,1,0.07518210197710717,107231
7232,1,0.07518210197710717,107232
7233,1,0.05853277835587929,107233
7234,1,0.05853277835587929,107234
7235,1,0.05853277835587929,107235
7236,1,0.05853277835587929,107236
7237,1,0.05853277835587929,107237
7238,1,0.05853277835587929,107238
7239,1,0.037460978147762745,107239
7240,1,0.3561394380853278,107240
7241,1,0.037460978147762745,107241
7242,1,0.037460978147762745,107242
7243,1,0.037460978147762745,107243
7244,1,0.037460978147762745,107244
7245,1,0.07518210197710717,107245
7246,1,0.09391259105098855,107246
7247,1,0.09391259105098855,107247
7248,1,0.09391259105098855,107248
7249,1,0.06659729448491156,107249
7250,1,0.06659729448491156,107250
7251,1,0.05853277835587929,107251
7252,1,0.05098855359001041,107252
7253,1,0.05098855359001041,107253
7254,1,0.04396462018730489,107254
7255,1,0.04396462018730489,107255
7256,1,0.05098855359001041,107256
7257,1,0.395681581685744,107257
7258,1,0.395681581685744,107258
7259,1,0.026014568158168574,107259
7260,1,0.012747138397502602,107260
7261,1,0.1040582726326743,107261
7262,1,0.01664932362122789,107262
7263,1,0.009365244536940686,107263
7264,1,0.06659729448491156,107264
7265,1,0.31867845993756505,107265
7266,1,0.43730489073881373,107266
7267,1,0.2832986472424558,107267
7268,1,0.1259105098855359,107268
7269,1,0.1259105098855359,107269
7270,1,0.31867845993756505,107270
7271,1,0.3756503642039542,107271
7272,1,0.395681581685744,107272
7273,1,0.395681581685744,107273
7274,1,0.2663891779396462,107274
7275,1,0.4162330905306972,107275
7276,1,0.33714880332986474,107276
7277,1,0.1147242455775234,107277
7278,1,0.031477627471383975,107278
7279,1,0.009365244536940686,107279
7280,1,0.009365244536940686,107280
7281,1,0.009365244536940686,107281
7282,1,0.012747138397502602,107282
7283,1,0.01664932362122789,107283
7284,1,0.1147242455775234,107284
7285,1,0.13761706555671177,107285
7286,1,0.07518210197710717,107286
7287,1,0.0065036420395421434,107287
7288,1,0.0065036420395421434,107288
7289,1,0.0065036420395421434,107289
7290,1,0.009365244536940686,107290
7291,1,0.012747138397502602,107291
7292,1,0.031477627471383975,107292
7293,1,0.021071800208116546,107293
7294,1,0.1896462018730489,107294
7295,1,0.06659729448491156,107295
7296,1,0.012747138397502602,107296
7297,1,0,107297
7298,1,0.09391259105098855,107298
7299,1,0,107299
7300,1,0.2832986472424558,107300
7301,1,0.2187825182101977,107301
7302,1,0.2187825182101977,107302
7303,1,0.20395421436004163,107303
7304,1,0.20395421436004163,107304
7305,1,0.1625910509885536,107305
7306,1,0.20395421436004163,107306
7307,1,0.17585848074921956,107307
7308,1,0.2832986472424558,107308
7309,1,0.09391259105098855,107309
7310,1,0.14984391259105098,107310
7311,1,0.14984391259105098,107311
7312,1,0.1147242455775234,107312
7313,1,0.1147242455775234,107313
7314,1,0.25,107314
7315,1,0.23413111342351717,107315
7316,1,0.2663891779396462,107316
7317,1,0.20395421436004163,107317
7318,1,0.23413111342351717,107318
7319,1,0.2663891779396462,107319
7320,1,0.33714880332986474,107320
7321,1,0.2187825182101977,107321
7322,1,0,107322
7323,1,0.13761706555671177,107323
7324,1,0.13761706555671177,107324
7325,1,0.13761706555671177,107325
7326,1,0.13761706555671177,107326
