WP4,campaign,value,pu
7401,1,0,107401
7227,1,0.002066115702577949,107227
7228,1,0.002066115702577949,107228
7229,1,0.002066115702577949,107229
7230,1,0.004648760330567947,107230
7231,1,0.004648760330567947,107231
7232,1,0.004648760330567947,107232
7233,1,0.004648760330567947,107233
7234,1,0.004648760330567947,107234
7235,1,0.002066115702577949,107235
7236,1,0.002066115702577949,107236
7237,1,0.002066115702577949,107237
7238,1,0.002066115702577949,107238
7239,1,0.002066115702577949,107239
7240,1,0.03305785124000751,107240
7241,1,0.002066115702577949,107241
7242,1,0.002066115702577949,107242
7243,1,0.002066115702577949,107243
7244,1,0.002066115702577949,107244
7245,1,0.004648760330567947,107245
7246,1,0.004648760330567947,107246
7247,1,0.004648760330567947,107247
7248,1,0.002066115702577949,107248
7249,1,0.004648760330567947,107249
7250,1,0.002066115702577949,107250
7251,1,0.002066115702577949,107251
7252,1,0.004648760330567947,107252
7253,1,0.004648760330567947,107253
7254,1,5.165289255670078e-4,107254
7255,1,5.165289255670078e-4,107255
7256,1,5.165289255670078e-4,107256
7257,1,0.20661157024849736,107257
7258,1,0.2277892561978294,107258
7259,1,0.004648760330567947,107259
7260,1,5.165289255670078e-4,107260
7261,1,0.012913223140724782,107261
7262,1,0.002066115702577949,107262
7263,1,0.002066115702577949,107263
7264,1,0.012913223140724782,107264
7265,1,0.20661157024849736,107265
7266,1,0.07438016528908716,107266
7267,1,0.2732438016534596,107267
7268,1,0.002066115702577949,107268
7269,1,0.002066115702577949,107269
7270,1,0.10123966942198065,107270
7271,1,0.18646694214735512,107271
7272,1,0.14927685950467107,107272
7273,1,0.14927685950467107,107273
7274,1,0.2732438016534596,107274
7275,1,0.2277892561978294,107275
7276,1,0.11621900826419868,107276
7277,1,0.012913223140724782,107277
7278,1,5.165289255670078e-4,107278
7279,1,5.165289255670078e-4,107279
7280,1,0.002066115702577949,107280
7281,1,0.002066115702577949,107281
7282,1,0.002066115702577949,107282
7283,1,0.002066115702577949,107283
7284,1,0.008264462809691961,107284
7285,1,0.012913223140724782,107285
7286,1,0.01859504132227179,107286
7287,1,0.002066115702577949,107287
7288,1,0.002066115702577949,107288
7289,1,0.002066115702577949,107289
7290,1,0.002066115702577949,107290
7291,1,0.002066115702577949,107291
7292,1,0,107292
7293,1,0,107293
7294,1,0.002066115702577949,107294
7295,1,0.01859504132227179,107295
7296,1,0.002066115702577949,107296
7297,1,0,107297
7298,1,0.004648760330567947,107298
7299,1,0,107299
7300,1,0.01859504132227179,107300
7301,1,0.025309917354952808,107301
7302,1,0.025309917354952808,107302
7303,1,0.01859504132227179,107303
7304,1,0.01859504132227179,107304
7305,1,0.01859504132227179,107305
7306,1,0.025309917354952808,107306
7307,1,0.008264462809691961,107307
7308,1,0.0872933884288822,107308
7309,1,5.165289255670078e-4,107309
7310,1,0.01859504132227179,107310
7311,1,0.01859504132227179,107311
7312,1,0.004648760330567947,107312
7313,1,0.004648760330567947,107313
7314,1,0.002066115702577949,107314
7315,1,0.004648760330567947,107315
7316,1,0.004648760330567947,107316
7317,1,0.012913223140724782,107317
7318,1,0.01859504132227179,107318
7319,1,0.025309917354952808,107319
7320,1,0.11621900826419868,107320
7321,1,0.01859504132227179,107321
7322,1,0,107322
7323,1,0.012913223140724782,107323
7324,1,0.012913223140724782,107324
7325,1,0.008264462809691961,107325
7326,1,0.008264462809691961,107326
7327,1,0.008264462809691961,107327
7328,1,0.008264462809691961,107328
7329,1,0.008264462809691961,107329
7330,1,0.004648760330567947,107330
7331,1,0.002066115702577949,107331
7332,1,0.008264462809691961,107332
7333,1,0.012913223140724782,107333
7334,1,0.008264462809691961,107334
7335,1,0.025309917354952808,107335
7336,1,0.012913223140724782,107336
7337,1,0.01859504132227179,107337
7338,1,0.012913223140724782,107338
7339,1,0.01859504132227179,107339
7340,1,0.01859504132227179,107340
7341,1,0.01859504132227179,107341
7342,1,0,107342
7343,1,0.04183884297511152,107343
7344,1,0.05165289256134954,107344
7345,1,0.05165289256134954,107345
7346,1,0.05165289256134954,107346
7347,1,0.0872933884288822,107347
7348,1,0.0872933884288822,107348
7349,1,0.24999999999829542,107349
7350,1,0.0872933884288822,107350
7351,1,0.5624999999987217,107351
7352,1,0.01859504132227179,107352
7353,1,0.01859504132227179,107353
7354,1,0.025309917354952808,107354
7355,1,0.03305785124000751,107355
7356,1,0.10123966942198065,107356
7357,1,0.04183884297511152,107357
7358,1,1,107358
7359,1,0.03305785124000751,107359
7401,2,0,207401
7227,2,0.002066115702577949,207227
7228,2,0.002066115702577949,207228
7229,2,0.002066115702577949,207229
7230,2,0.004648760330567947,207230
7231,2,0.004648760330567947,207231
7232,2,0.004648760330567947,207232
7233,2,0.004648760330567947,207233
7234,2,0.004648760330567947,207234
7235,2,0.002066115702577949,207235
7236,2,0.002066115702577949,207236
7237,2,0.002066115702577949,207237
7238,2,0.002066115702577949,207238
7239,2,0.002066115702577949,207239
7240,2,0.03305785124000751,207240
7241,2,0.002066115702577949,207241
7242,2,0.002066115702577949,207242
7243,2,0.002066115702577949,207243
7244,2,0.002066115702577949,207244
7245,2,0.004648760330567947,207245
7246,2,0.004648760330567947,207246
7247,2,0.004648760330567947,207247
7248,2,0.002066115702577949,207248
7249,2,0.004648760330567947,207249
7250,2,0.002066115702577949,207250
7251,2,0.002066115702577949,207251
7252,2,0.004648760330567947,207252
7253,2,0.004648760330567947,207253
7254,2,5.165289255670078e-4,207254
7255,2,5.165289255670078e-4,207255
7256,2,5.165289255670078e-4,207256
7257,2,0.20661157024849736,207257
7258,2,0.2277892561978294,207258
7259,2,0.004648760330567947,207259
7260,2,5.165289255670078e-4,207260
7261,2,0.012913223140724782,207261
7262,2,0.002066115702577949,207262
7263,2,0.002066115702577949,207263
7264,2,0.012913223140724782,207264
7265,2,0.20661157024849736,207265
7266,2,0.07438016528908716,207266
7267,2,0.2732438016534596,207267
7268,2,0.002066115702577949,207268
7269,2,0.002066115702577949,207269
7270,2,0.10123966942198065,207270
7271,2,0.18646694214735512,207271
7272,2,0.14927685950467107,207272
7273,2,0.14927685950467107,207273
7274,2,0.2732438016534596,207274
7275,2,0.2277892561978294,207275
7276,2,0.11621900826419868,207276
7277,2,0.012913223140724782,207277
7278,2,5.165289255670078e-4,207278
7279,2,5.165289255670078e-4,207279
7280,2,0.002066115702577949,207280
7281,2,0.002066115702577949,207281
7282,2,0.002066115702577949,207282
7283,2,0.002066115702577949,207283
7284,2,0.008264462809691961,207284
7285,2,0.012913223140724782,207285
7286,2,0.01859504132227179,207286
7287,2,0.002066115702577949,207287
7288,2,0.002066115702577949,207288
7289,2,0.002066115702577949,207289
7290,2,0.002066115702577949,207290
7291,2,0.002066115702577949,207291
7292,2,0,207292
7293,2,0,207293
7294,2,0.002066115702577949,207294
7295,2,0.01859504132227179,207295
7296,2,0.002066115702577949,207296
7297,2,0,207297
7298,2,0.004648760330567947,207298
7299,2,0,207299
7300,2,0.01859504132227179,207300
7301,2,0.025309917354952808,207301
7302,2,0.025309917354952808,207302
7303,2,0.01859504132227179,207303
7304,2,0.01859504132227179,207304
7305,2,0.01859504132227179,207305
7306,2,0.025309917354952808,207306
7307,2,0.008264462809691961,207307
7308,2,0.0872933884288822,207308
7309,2,5.165289255670078e-4,207309
7310,2,0.01859504132227179,207310
7311,2,0.01859504132227179,207311
7312,2,0.004648760330567947,207312
7313,2,0.004648760330567947,207313
7314,2,0.002066115702577949,207314
7315,2,0.004648760330567947,207315
7316,2,0.004648760330567947,207316
7317,2,0.012913223140724782,207317
7318,2,0.01859504132227179,207318
7319,2,0.025309917354952808,207319
7320,2,0.11621900826419868,207320
7321,2,0.01859504132227179,207321
7322,2,0,207322
7323,2,0.012913223140724782,207323
7324,2,0.012913223140724782,207324
7325,2,0.008264462809691961,207325
7326,2,0.008264462809691961,207326
7327,2,0.008264462809691961,207327
7328,2,0.008264462809691961,207328
7329,2,0.008264462809691961,207329
7330,2,0.004648760330567947,207330
7331,2,0.002066115702577949,207331
7332,2,0.008264462809691961,207332
7333,2,0.012913223140724782,207333
7334,2,0.008264462809691961,207334
7335,2,0.025309917354952808,207335
7336,2,0.012913223140724782,207336
7337,2,0.01859504132227179,207337
7338,2,0.012913223140724782,207338
7339,2,0.01859504132227179,207339
7340,2,0.01859504132227179,207340
7341,2,0.01859504132227179,207341
7342,2,0,207342
7343,2,0.04183884297511152,207343
7344,2,0.05165289256134954,207344
7345,2,0.05165289256134954,207345
7346,2,0.05165289256134954,207346
7347,2,0.0872933884288822,207347
7348,2,0.0872933884288822,207348
7349,2,0.24999999999829542,207349
7350,2,0.0872933884288822,207350
7351,2,0.5624999999987217,207351
7352,2,0.01859504132227179,207352
7353,2,0.01859504132227179,207353
7354,2,0.025309917354952808,207354
