WP4,campaign,value,pu
7401,1,0.3963573791138454,107401
7227,1,0,107227
7228,1,0,107228
7229,1,0,107229
7230,1,0,107230
7231,1,0,107231
7232,1,0,107232
7233,1,0,107233
7234,1,0,107234
7235,1,0.020130101660767334,107235
7236,1,0.06760744205558529,107236
7237,1,0.1346746676163562,107237
7238,1,0.004997612781702101,107238
7239,1,0,107239
7240,1,0,107240
7241,1,0,107241
7242,1,0.05811648237792934,107242
7243,1,0.01915422385889544,107243
7244,1,0.2600674050348655,107244
7245,1,0.25687673506118613,107245
7246,1,0.21148240438782542,107246
7247,1,0.3286854788028608,107247
7248,1,0.3321699759235135,107248
7249,1,0.2732647771618884,107249
7250,1,0.48569684746956154,107250
7251,1,0.3819739431755152,107251
7252,1,0.017722207536552365,107252
7253,1,0.1525643722200278,107253
7254,1,0.43465025970854665,107254
7255,1,0.4122636047237032,107255
7256,1,0.5953028790555349,107256
7257,1,0.3920546922358202,107257
7258,1,0.6449770159542257,107258
7259,1,0.8732533965309918,107259
7260,1,0.6179470038681564,107260
7261,1,0.6103814065942612,107261
7262,1,0.18559997876850384,107262
7263,1,0.5805975150340272,107263
7264,1,0.7056887792667165,107264
7265,1,0.2011054816472096,107265
7266,1,0.041623400273143506,107266
7267,1,0.36775533307234515,107267
7268,1,0.2558628820260252,107268
7269,1,0.18629464134271448,107269
7270,1,0.3761825131175105,107270
7271,1,0.26173219679480225,107271
7272,1,0.2446949471374046,107272
7273,1,0.14221595656784372,107273
7274,1,0.2051888390695636,107274
7275,1,0.1949224388302038,107275
7276,1,0.21374772513258572,107276
7277,1,0.2738817419222995,107277
7278,1,0.24032575283209515,107278
7279,1,0.45600850879990584,107279
7280,1,0.12005445273990223,107280
7281,1,0.718100583805611,107281
7282,1,0.9663711908280382,107282
7283,1,1,107283
7284,1,0.7490509345215465,107284
7285,1,0.13663130206794497,107285
7286,1,0.5691040067344055,107286
7287,1,0.7675810798191306,107287
7288,1,0.5460193858410931,107288
7289,1,0.4862029164926723,107289
7290,1,0.6036638105396709,107290
7291,1,0.4981450271804964,107291
7292,1,0.0649980211097453,107292
7293,1,0.07569599379671652,107293
7294,1,0.07120989794541005,107294
7295,1,0.18069776210708335,107295
7296,1,0.22610709865471362,107296
7297,1,0,107297
7298,1,0.07479368924350763,107298
7299,1,0,107299
7300,1,0.06333283156610205,107300
7301,1,0,107301
7302,1,0,107302
7303,1,0,107303
7304,1,0,107304
7305,1,0,107305
7306,1,0,107306
7307,1,0.00501174554026234,107307
7308,1,0.13655808085507273,107308
7309,1,0.12646008985164023,107309
7310,1,0.013479319879237664,107310
7311,1,0.19375439858190163,107311
7312,1,0,107312
7313,1,0,107313
7314,1,0,107314
7315,1,0,107315
7316,1,0.016701486735013846,107316
7317,1,0,107317
7318,1,0.014582593910561322,107318
7319,1,0.013628416241997458,107319
7320,1,0.06405559396071386,107320
7321,1,0,107321
7322,1,0,107322
7323,1,0,107323
7324,1,0,107324
7325,1,0,107325
7326,1,0,107326
7327,1,0,107327
7328,1,0,107328
7329,1,0,107329
7330,1,0,107330
7331,1,0,107331
7332,1,0,107332
7333,1,0,107333
7334,1,0,107334
7335,1,0,107335
7336,1,0,107336
7337,1,0,107337
7338,1,0,107338
7339,1,0,107339
7340,1,0,107340
7341,1,0,107341
7342,1,0,107342
7343,1,0,107343
7344,1,0,107344
7345,1,0,107345
7346,1,0,107346
7347,1,0,107347
7348,1,0,107348
7349,1,0,107349
7350,1,0.08470418743532544,107350
7351,1,0.0847168517973702,107351
7352,1,0,107352
7353,1,0.06462987089461167,107353
7354,1,0,107354
7355,1,0.0029885104918534995,107355
7356,1,0,107356
7357,1,0.016198189366116236,107357
7358,1,0.08397357480995012,107358
7359,1,0,107359
7401,2,0.3963573791138454,207401
7227,2,0,207227
7228,2,0,207228
7229,2,0,207229
7230,2,0,207230
7231,2,0,207231
7232,2,0,207232
7233,2,0,207233
7234,2,0,207234
7235,2,0.020130101660767334,207235
7236,2,0.06760744205558529,207236
7237,2,0.1346746676163562,207237
7238,2,0.004997612781702101,207238
7239,2,0,207239
7240,2,0,207240
7241,2,0,207241
7242,2,0.05811648237792934,207242
7243,2,0.01915422385889544,207243
7244,2,0.2600674050348655,207244
7245,2,0.25687673506118613,207245
7246,2,0.21148240438782542,207246
7247,2,0.3286854788028608,207247
7248,2,0.3321699759235135,207248
7249,2,0.2732647771618884,207249
7250,2,0.48569684746956154,207250
7251,2,0.3819739431755152,207251
7252,2,0.017722207536552365,207252
7253,2,0.1525643722200278,207253
7254,2,0.43465025970854665,207254
7255,2,0.4122636047237032,207255
7256,2,0.5953028790555349,207256
7257,2,0.3920546922358202,207257
7258,2,0.6449770159542257,207258
7259,2,0.8732533965309918,207259
7260,2,0.6179470038681564,207260
7261,2,0.6103814065942612,207261
7262,2,0.18559997876850384,207262
7263,2,0.5805975150340272,207263
7264,2,0.7056887792667165,207264
7265,2,0.2011054816472096,207265
7266,2,0.041623400273143506,207266
7267,2,0.36775533307234515,207267
7268,2,0.2558628820260252,207268
7269,2,0.18629464134271448,207269
7270,2,0.3761825131175105,207270
7271,2,0.26173219679480225,207271
7272,2,0.2446949471374046,207272
7273,2,0.14221595656784372,207273
7274,2,0.2051888390695636,207274
7275,2,0.1949224388302038,207275
7276,2,0.21374772513258572,207276
7277,2,0.2738817419222995,207277
7278,2,0.24032575283209515,207278
7279,2,0.45600850879990584,207279
7280,2,0.12005445273990223,207280
7281,2,0.718100583805611,207281
7282,2,0.9663711908280382,207282
7283,2,1,207283
7284,2,0.7490509345215465,207284
7285,2,0.13663130206794497,207285
7286,2,0.5691040067344055,207286
7287,2,0.7675810798191306,207287
7288,2,0.5460193858410931,207288
7289,2,0.4862029164926723,207289
7290,2,0.6036638105396709,207290
7291,2,0.4981450271804964,207291
7292,2,0.0649980211097453,207292
7293,2,0.07569599379671652,207293
7294,2,0.07120989794541005,207294
7295,2,0.18069776210708335,207295
7296,2,0.22610709865471362,207296
7297,2,0,207297
7298,2,0.07479368924350763,207298
7299,2,0,207299
7300,2,0.06333283156610205,207300
7301,2,0,207301
7302,2,0,207302
7303,2,0,207303
7304,2,0,207304
7305,2,0,207305
7306,2,0,207306
7307,2,0.00501174554026234,207307
7308,2,0.13655808085507273,207308
7309,2,0.12646008985164023,207309
7310,2,0.013479319879237664,207310
7311,2,0.19375439858190163,207311
7312,2,0,207312
7313,2,0,207313
7314,2,0,207314
7315,2,0,207315
7316,2,0.016701486735013846,207316
7317,2,0,207317
7318,2,0.014582593910561322,207318
7319,2,0.013628416241997458,207319
7320,2,0.06405559396071386,207320
7321,2,0,207321
7322,2,0,207322
7323,2,0,207323
7324,2,0,207324
7325,2,0,207325
7326,2,0,207326
7327,2,0,207327
7328,2,0,207328
7329,2,0,207329
7330,2,0,207330
7331,2,0,207331
7332,2,0,207332
7333,2,0,207333
7334,2,0,207334
7335,2,0,207335
7336,2,0,207336
7337,2,0,207337
7338,2,0,207338
7339,2,0,207339
7340,2,0,207340
7341,2,0,207341
7342,2,0,207342
7343,2,0,207343
7344,2,0,207344
7345,2,0,207345
7346,2,0,207346
7347,2,0,207347
7348,2,0,207348
7349,2,0,207349
7350,2,0.08470418743532544,207350
7351,2,0.0847168517973702,207351
7352,2,0,207352
7353,2,0.06462987089461167,207353
7354,2,0,207354
7355,2,0.0029885104918534995,207355
7356,2,0,207356
7357,2,0.016198189366116236,207357
7358,2,0.08397357480995012,207358
7359,2,0,207359
7401,3,0.3963573791138454,307401
7227,3,0,307227
7228,3,0,307228
7229,3,0,307229
7230,3,0,307230
7231,3,0,307231
7232,3,0,307232
7233,3,0,307233
7234,3,0,307234
7235,3,0.020130101660767334,307235
7236,3,0.06760744205558529,307236
7237,3,0.1346746676163562,307237
7238,3,0.004997612781702101,307238
7239,3,0,307239
7240,3,0,307240
7241,3,0,307241
7242,3,0.05811648237792934,307242
7243,3,0.01915422385889544,307243
7244,3,0.2600674050348655,307244
7245,3,0.25687673506118613,307245
7246,3,0.21148240438782542,307246
7247,3,0.3286854788028608,307247
7248,3,0.3321699759235135,307248
7249,3,0.2732647771618884,307249
7250,3,0.48569684746956154,307250
7251,3,0.3819739431755152,307251
7252,3,0.017722207536552365,307252
7253,3,0.1525643722200278,307253
7254,3,0.43465025970854665,307254
7255,3,0.4122636047237032,307255
7256,3,0.5953028790555349,307256
7257,3,0.3920546922358202,307257
7258,3,0.6449770159542257,307258
7259,3,0.8732533965309918,307259
7260,3,0.6179470038681564,307260
7261,3,0.6103814065942612,307261
7262,3,0.18559997876850384,307262
7263,3,0.5805975150340272,307263
7264,3,0.7056887792667165,307264
7265,3,0.2011054816472096,307265
7266,3,0.041623400273143506,307266
7267,3,0.36775533307234515,307267
7268,3,0.2558628820260252,307268
7269,3,0.18629464134271448,307269
7270,3,0.3761825131175105,307270
7271,3,0.26173219679480225,307271
7272,3,0.2446949471374046,307272
7273,3,0.14221595656784372,307273
7274,3,0.2051888390695636,307274
7275,3,0.1949224388302038,307275
7276,3,0.21374772513258572,307276
7277,3,0.2738817419222995,307277
7278,3,0.24032575283209515,307278
7279,3,0.45600850879990584,307279
7280,3,0.12005445273990223,307280
7281,3,0.718100583805611,307281
7282,3,0.9663711908280382,307282
7283,3,1,307283
7284,3,0.7490509345215465,307284
7285,3,0.13663130206794497,307285
7286,3,0.5691040067344055,307286
7287,3,0.7675810798191306,307287
7288,3,0.5460193858410931,307288
7289,3,0.4862029164926723,307289
7290,3,0.6036638105396709,307290
7291,3,0.4981450271804964,307291
7292,3,0.0649980211097453,307292
7293,3,0.07569599379671652,307293
7294,3,0.07120989794541005,307294
7295,3,0.18069776210708335,307295
7296,3,0.22610709865471362,307296
7297,3,0,307297
7298,3,0.07479368924350763,307298
7299,3,0,307299
7300,3,0.06333283156610205,307300
7301,3,0,307301
7302,3,0,307302
7303,3,0,307303
7304,3,0,307304
7305,3,0,307305
7306,3,0,307306
7307,3,0.00501174554026234,307307
7308,3,0.13655808085507273,307308
7309,3,0.12646008985164023,307309
7310,3,0.013479319879237664,307310
7311,3,0.19375439858190163,307311
7312,3,0,307312
7313,3,0,307313
7314,3,0,307314
7315,3,0,307315
7316,3,0.016701486735013846,307316
7317,3,0,307317
7318,3,0.014582593910561322,307318
7319,3,0.013628416241997458,307319
7320,3,0.06405559396071386,307320
7321,3,0,307321
7322,3,0,307322
7323,3,0,307323
7324,3,0,307324
7325,3,0,307325
7326,3,0,307326
7327,3,0,307327
7328,3,0,307328
7329,3,0,307329
7330,3,0,307330
7331,3,0,307331
7332,3,0,307332
7333,3,0,307333
7334,3,0,307334
7335,3,0,307335
7336,3,0,307336
7337,3,0,307337
7338,3,0,307338
7339,3,0,307339
7340,3,0,307340
7341,3,0,307341
7342,3,0,307342
7343,3,0,307343
7344,3,0,307344
7345,3,0,307345
7346,3,0,307346
7347,3,0,307347
7348,3,0,307348
7349,3,0,307349
7350,3,0.08470418743532544,307350
