ID,regime2021
3843,perennial
3844,perennial
3856,perennial
3854,perennial
3847,perennial
3848,perennial
3849,perennial
3850,perennial
3851,perennial
3852,perennial
3865,perennial
3863,perennial
3861,perennial
3862,perennial
3864,perennial
3867,perennial
3880,perennial
3874,perennial
3875,perennial
3876,perennial
3877,perennial
3836,perennial
3837,perennial
3822,perennial
3515,perennial
3819,perennial
3820,perennial
3516,perennial
3818,perennial
3517,perennial
3518,perennial
3519,perennial
3521,perennial
3522,perennial
3523,perennial
3524,perennial
3771,perennial
3772,perennial
3773,perennial
3525,perennial
3763,perennial
3770,perennial
3764,perennial
3767,perennial
3769,perennial
3768,perennial
3526,perennial
3527,perennial
3737,perennial
3738,perennial
3739,perennial
3751,perennial
3740,perennial
3749,perennial
3750,perennial
3741,perennial
3742,perennial
3746,perennial
3747,perennial
3748,perennial
3752,perennial
3761,perennial
3753,perennial
3754,perennial
3760,perennial
3755,perennial
3756,perennial
3757,perennial
3758,perennial
3759,perennial
3528,perennial
3736,perennial
3529,perennial
3530,perennial
3531,perennial
3733,perennial
3532,perennial
3730,perennial
3731,perennial
3533,perennial
3727,perennial
3729,perennial
3728,perennial
3534,perennial
3535,perennial
3536,perennial
3537,perennial
3708,perennial
3538,perennial
3539,perennial
3707,perennial
3705,perennial
3706,perennial
3540,perennial
3541,perennial
3697,perennial
3698,perennial
3700,perennial
3699,perennial
3701,perennial
3542,perennial
3612,perennial
3616,perennial
3613,perennial
3614,perennial
3610,perennial
3609,perennial
3605,perennial
3607,perennial
3606,perennial
3556,perennial
3561,perennial
3594,perennial
3587,perennial
3588,perennial
3592,perennial
3589,perennial
3590,perennial
3593,perennial
3562,perennial
3585,perennial
3563,perennial
3564,perennial
3565,perennial
3566,perennial
3567,perennial
3568,perennial
3569,perennial
3572,perennial
3575,perennial
3581,perennial
3595,perennial
3597,perennial
3598,perennial
3600,perennial
3601,perennial
3611,perennial
3621,perennial
3620,perennial
3625,perennial
3628,perennial
3629,perennial
3631,perennial
3632,perennial
3633,perennial
3634,perennial
3638,perennial
3637,perennial
3639,perennial
3642,perennial
3643,perennial
3644,perennial
3648,perennial
3645,perennial
3647,perennial
3651,perennial
3653,perennial
3654,perennial
3655,perennial
3663,perennial
3664,perennial
3665,perennial
3693,perennial
3695,perennial
3666,perennial
3691,perennial
3690,perennial
3689,perennial
3672,perennial
3674,perennial
3675,perennial
3679,perennial
3677,perennial
3678,perennial
3681,perennial
3682,perennial
3686,perennial
3685,perennial
3688,perennial
3692,perennial
3696,perennial
3702,perennial
3703,perennial
3947,perennial
3709,perennial
3710,perennial
3724,perennial
3725,perennial
3711,perennial
3712,perennial
3713,perennial
3718,perennial
3717,perennial
3714,perennial
3716,perennial
3719,perennial
3720,perennial
3721,perennial
3722,perennial
3723,perennial
3734,perennial
3735,perennial
3762,perennial
3775,perennial
3776,perennial
3777,perennial
3796,perennial
3803,perennial
3797,perennial
3802,perennial
3799,perennial
3778,perennial
3779,perennial
3795,perennial
3780,perennial
3794,perennial
3781,perennial
3792,perennial
3793,perennial
3782,perennial
3791,perennial
3783,perennial
3784,perennial
3785,perennial
3786,perennial
3788,perennial
3789,perennial
3790,perennial
3806,perennial
3520,perennial
3807,perennial
3815,perennial
3808,perennial
3814,perennial
3809,perennial
3813,perennial
3810,perennial
3812,perennial
3811,perennial
3821,perennial
3823,perennial
3834,perennial
3824,perennial
3825,perennial
3826,perennial
3827,perennial
3832,perennial
3828,perennial
3830,perennial
3507,intermittent
3838,intermittent
3839,intermittent
3840,intermittent
3868,intermittent
3841,intermittent
3842,intermittent
3855,intermittent
3857,intermittent
3845,intermittent
3846,intermittent
3853,intermittent
3858,intermittent
3859,intermittent
3860,intermittent
3866,intermittent
3869,intermittent
3870,intermittent
3871,intermittent
3872,intermittent
3878,intermittent
3873,intermittent
3879,intermittent
3508,intermittent
3509,intermittent
3510,intermittent
3835,intermittent
3511,intermittent
3512,intermittent
3513,intermittent
3514,intermittent
3805,intermittent
3765,intermittent
3766,intermittent
3743,intermittent
3744,intermittent
3745,intermittent
3704,intermittent
3543,intermittent
3658,intermittent
3662,intermittent
3659,intermittent
3660,intermittent
3661,intermittent
3544,intermittent
3545,intermittent
3546,intermittent
3547,intermittent
3548,intermittent
3549,intermittent
3550,intermittent
3551,intermittent
3622,intermittent
3552,intermittent
3553,intermittent
3615,intermittent
3554,intermittent
3555,intermittent
3602,intermittent
3603,intermittent
3604,intermittent
3608,intermittent
3557,intermittent
3558,intermittent
3559,intermittent
3560,intermittent
3586,intermittent
3583,intermittent
3584,intermittent
3570,intermittent
3571,intermittent
3573,intermittent
3574,intermittent
3580,intermittent
3579,intermittent
3576,intermittent
3578,intermittent
3577,intermittent
3582,intermittent
3596,intermittent
3599,intermittent
3617,intermittent
3618,intermittent
3619,intermittent
3623,intermittent
3624,intermittent
3626,intermittent
3627,intermittent
3630,intermittent
3635,intermittent
3636,intermittent
3640,intermittent
3652,intermittent
3641,intermittent
3650,intermittent
3649,intermittent
3646,intermittent
3656,intermittent
3657,intermittent
3694,intermittent
3667,intermittent
3668,intermittent
3669,intermittent
3670,intermittent
3671,intermittent
3673,intermittent
3676,intermittent
3680,intermittent
3683,intermittent
3687,intermittent
3684,intermittent
3715,intermittent
3804,intermittent
3800,intermittent
3801,intermittent
3798,intermittent
3787,intermittent
3816,intermittent
3817,intermittent
3833,intermittent
3829,intermittent
3831,intermittent
