WP4,Regime
1015,perennial
829,perennial
830,perennial
983,perennial
984,perennial
1009,perennial
985,perennial
986,perennial
987,perennial
988,perennial
1004,perennial
989,perennial
990,perennial
991,perennial
992,perennial
998,perennial
997,perennial
996,perennial
1001,perennial
1002,perennial
1003,perennial
1005,perennial
1006,perennial
1007,perennial
1008,perennial
1010,perennial
831,perennial
832,perennial
833,perennial
966,perennial
977,perennial
976,perennial
968,perennial
975,perennial
969,perennial
970,perennial
971,perennial
972,perennial
973,perennial
974,perennial
834,perennial
835,perennial
836,perennial
837,perennial
838,perennial
839,perennial
840,perennial
933,perennial
934,perennial
841,perennial
842,perennial
843,perennial
911,perennial
924,perennial
914,perennial
922,perennial
918,perennial
917,perennial
920,perennial
921,perennial
923,perennial
925,perennial
926,perennial
927,perennial
844,perennial
904,perennial
908,perennial
907,perennial
906,perennial
909,perennial
885,perennial
888,perennial
849,perennial
850,perennial
864,perennial
865,perennial
868,perennial
869,perennial
870,perennial
872,perennial
851,perennial
861,perennial
855,perennial
860,perennial
856,perennial
857,perennial
859,perennial
862,perennial
873,perennial
880,perennial
881,perennial
882,perennial
883,perennial
884,perennial
901,perennial
896,perennial
895,perennial
897,perennial
898,perennial
900,perennial
931,perennial
935,perennial
940,perennial
937,perennial
938,perennial
939,perennial
978,perennial
941,perennial
981,perennial
955,perennial
956,perennial
957,perennial
958,perennial
963,perennial
961,perennial
962,perennial
964,perennial
965,perennial
942,perennial
954,perennial
951,perennial
953,perennial
950,perennial
949,perennial
948,perennial
952,perennial
979,perennial
980,perennial
982,perennial
1011,intermittent
1012,intermittent
1013,intermittent
1014,intermittent
993,intermittent
999,intermittent
994,intermittent
995,intermittent
1000,intermittent
967,intermittent
932,intermittent
928,intermittent
929,intermittent
930,intermittent
912,intermittent
913,intermittent
915,intermittent
919,intermittent
916,intermittent
845,intermittent
902,intermittent
903,intermittent
905,intermittent
846,intermittent
847,intermittent
886,intermittent
887,intermittent
848,intermittent
871,intermittent
866,intermittent
867,intermittent
863,intermittent
852,intermittent
853,intermittent
854,intermittent
874,intermittent
875,intermittent
876,intermittent
877,intermittent
878,intermittent
879,intermittent
889,intermittent
890,intermittent
891,intermittent
892,intermittent
893,intermittent
894,intermittent
899,intermittent
910,intermittent
936,intermittent
959,intermittent
960,intermittent
943,intermittent
944,intermittent
945,intermittent
946,intermittent
947,intermittent
