WP4,Regime
1011,intermittent
1015,perennial
1014,intermittent
1013,intermittent
1012,intermittent
829,perennial
830,perennial
983,perennial
984,perennial
1009,perennial
985,perennial
986,perennial
987,intermittent
988,perennial
1004,intermittent
989,intermittent
991,intermittent
990,intermittent
992,intermittent
999,intermittent
993,intermittent
994,intermittent
998,intermittent
995,intermittent
997,intermittent
996,intermittent
1000,intermittent
1001,intermittent
1002,intermittent
1003,intermittent
1005,perennial
1006,perennial
1007,perennial
1008,perennial
1010,perennial
831,perennial
832,perennial
833,perennial
966,perennial
977,intermittent
967,intermittent
976,intermittent
968,intermittent
975,perennial
970,intermittent
972,intermittent
971,intermittent
974,intermittent
969,intermittent
973,intermittent
834,perennial
835,perennial
837,perennial
838,perennial
836,perennial
840,perennial
839,perennial
932,intermittent
933,intermittent
934,perennial
841,perennial
930,intermittent
929,intermittent
928,intermittent
842,perennial
843,perennial
911,intermittent
912,intermittent
924,intermittent
913,intermittent
914,intermittent
922,intermittent
919,intermittent
915,intermittent
916,intermittent
918,intermittent
917,intermittent
920,intermittent
921,intermittent
923,intermittent
926,intermittent
927,intermittent
925,intermittent
844,intermittent
845,intermittent
903,intermittent
902,intermittent
904,intermittent
908,intermittent
905,intermittent
907,intermittent
906,intermittent
909,intermittent
846,intermittent
847,intermittent
885,intermittent
887,intermittent
886,intermittent
888,intermittent
848,intermittent
849,intermittent
850,intermittent
864,intermittent
865,intermittent
871,intermittent
866,intermittent
867,intermittent
868,intermittent
869,intermittent
870,intermittent
872,intermittent
851,intermittent
863,intermittent
852,intermittent
853,intermittent
854,intermittent
861,intermittent
855,intermittent
860,intermittent
856,intermittent
857,intermittent
859,intermittent
862,intermittent
873,intermittent
874,intermittent
875,intermittent
876,intermittent
877,intermittent
879,intermittent
878,intermittent
881,intermittent
880,intermittent
882,intermittent
883,intermittent
884,intermittent
889,intermittent
901,intermittent
890,intermittent
891,intermittent
892,intermittent
893,intermittent
894,intermittent
896,intermittent
895,intermittent
897,intermittent
898,intermittent
899,intermittent
900,intermittent
910,intermittent
931,perennial
935,intermittent
936,intermittent
940,intermittent
937,intermittent
938,intermittent
939,intermittent
978,perennial
981,perennial
941,perennial
955,intermittent
956,intermittent
957,intermittent
958,intermittent
963,intermittent
959,intermittent
960,intermittent
961,intermittent
962,intermittent
964,intermittent
965,intermittent
942,intermittent
954,intermittent
943,intermittent
953,intermittent
951,intermittent
944,intermittent
945,intermittent
946,intermittent
950,intermittent
947,intermittent
949,intermittent
948,intermittent
952,perennial
979,intermittent
980,intermittent
982,perennial
