WP4,Regime
736,intermittent
737,intermittent
738,intermittent
1049,intermittent
1048,intermittent
1047,intermittent
740,intermittent
741,intermittent
739,intermittent
742,intermittent
743,intermittent
744,intermittent
1026,intermittent
1028,intermittent
1027,intermittent
745,intermittent
1025,intermittent
746,intermittent
1022,intermittent
1024,intermittent
1023,intermittent
747,intermittent
748,intermittent
1019,intermittent
1020,intermittent
1021,intermittent
749,intermittent
1014,intermittent
1016,intermittent
1017,intermittent
1018,intermittent
1015,intermittent
750,intermittent
751,perennial
1012,intermittent
752,perennial
753,perennial
754,perennial
755,perennial
1004,intermittent
1008,intermittent
1005,intermittent
1007,intermittent
1006,intermittent
756,perennial
1003,intermittent
1002,intermittent
757,perennial
758,perennial
993,intermittent
994,intermittent
760,perennial
759,perennial
991,intermittent
761,perennial
762,perennial
980,intermittent
763,perennial
979,intermittent
978,intermittent
764,perennial
975,intermittent
974,intermittent
976,intermittent
977,intermittent
765,perennial
766,perennial
940,intermittent
941,intermittent
768,perennial
767,perennial
769,perennial
922,intermittent
923,intermittent
924,intermittent
770,perennial
913,intermittent
914,intermittent
916,intermittent
915,intermittent
917,intermittent
918,intermittent
920,intermittent
921,intermittent
771,perennial
772,perennial
773,perennial
909,intermittent
910,intermittent
911,intermittent
774,perennial
775,perennial
866,perennial
899,intermittent
905,intermittent
900,intermittent
901,intermittent
903,intermittent
902,intermittent
904,intermittent
867,perennial
868,perennial
869,intermittent
891,intermittent
870,intermittent
888,intermittent
890,intermittent
889,intermittent
871,intermittent
872,intermittent
886,intermittent
873,intermittent
874,intermittent
884,intermittent
875,intermittent
876,intermittent
877,intermittent
878,intermittent
879,intermittent
880,intermittent
881,intermittent
882,intermittent
883,intermittent
885,intermittent
887,intermittent
892,intermittent
898,intermittent
893,intermittent
894,intermittent
895,intermittent
896,intermittent
897,intermittent
776,perennial
778,perennial
777,perennial
864,intermittent
865,intermittent
779,perennial
859,intermittent
860,intermittent
862,intermittent
861,intermittent
863,intermittent
780,perennial
781,perennial
858,intermittent
782,perennial
783,perennial
856,intermittent
784,perennial
855,intermittent
785,perennial
786,perennial
787,perennial
846,intermittent
844,intermittent
845,intermittent
843,intermittent
788,perennial
789,perennial
819,perennial
839,intermittent
820,perennial
838,intermittent
837,intermittent
821,intermittent
822,intermittent
823,intermittent
826,intermittent
828,intermittent
827,intermittent
824,intermittent
825,intermittent
829,intermittent
830,intermittent
836,intermittent
831,intermittent
833,intermittent
832,intermittent
834,intermittent
835,intermittent
790,perennial
818,intermittent
791,intermittent
807,intermittent
817,intermittent
808,intermittent
816,intermittent
809,intermittent
810,intermittent
814,intermittent
811,intermittent
812,intermittent
813,intermittent
815,intermittent
792,intermittent
793,perennial
794,intermittent
795,intermittent
803,intermittent
796,intermittent
802,intermittent
797,intermittent
798,intermittent
800,intermittent
799,intermittent
801,intermittent
804,intermittent
805,intermittent
806,intermittent
840,intermittent
842,intermittent
841,intermittent
847,intermittent
848,intermittent
849,intermittent
850,intermittent
851,intermittent
852,intermittent
853,intermittent
854,intermittent
857,intermittent
906,intermittent
908,intermittent
907,intermittent
912,intermittent
925,intermittent
939,intermittent
926,intermittent
938,intermittent
927,perennial
936,intermittent
928,perennial
929,intermittent
932,intermittent
934,intermittent
933,intermittent
930,intermittent
931,intermittent
935,intermittent
937,intermittent
943,intermittent
942,intermittent
944,intermittent
945,intermittent
946,intermittent
947,intermittent
948,perennial
949,intermittent
950,intermittent
955,intermittent
951,intermittent
952,intermittent
953,intermittent
954,intermittent
956,intermittent
960,intermittent
957,intermittent
958,intermittent
959,intermittent
961,intermittent
962,perennial
963,intermittent
964,intermittent
965,intermittent
966,intermittent
967,intermittent
969,intermittent
968,intermittent
970,intermittent
971,intermittent
972,intermittent
973,intermittent
981,perennial
982,perennial
983,intermittent
986,intermittent
984,intermittent
985,intermittent
987,intermittent
990,intermittent
989,intermittent
988,intermittent
995,intermittent
999,intermittent
1001,intermittent
1000,intermittent
997,intermittent
996,intermittent
998,intermittent
1009,intermittent
1010,intermittent
1011,intermittent
1013,intermittent
1029,intermittent
1031,intermittent
1030,intermittent
1043,intermittent
1032,intermittent
1033,intermittent
1034,intermittent
1035,intermittent
1036,intermittent
1037,intermittent
1039,intermittent
1040,intermittent
1042,intermittent
1041,intermittent
1045,intermittent
1057,intermittent
1050,intermittent
1056,intermittent
1051,intermittent
1052,intermittent
1054,intermittent
1053,intermittent
1055,intermittent
