WP4,Regime
7227,perennial
7228,perennial
7341,intermittent
7229,perennial
7324,perennial
7323,perennial
7322,perennial
7325,perennial
7337,intermittent
7326,perennial
7327,perennial
7335,perennial
7328,perennial
7334,intermittent
7329,perennial
7333,intermittent
7330,perennial
7331,perennial
7332,intermittent
7336,perennial
7338,perennial
7339,intermittent
7340,intermittent
7230,perennial
7321,intermittent
7232,perennial
7231,perennial
7233,perennial
7234,perennial
7235,perennial
7236,perennial
7238,perennial
7237,perennial
7239,perennial
7241,perennial
7296,intermittent
7242,perennial
7243,perennial
7244,perennial
7281,perennial
7280,perennial
7291,perennial
7282,perennial
7283,perennial
7284,perennial
7285,perennial
7286,perennial
7287,perennial
7288,perennial
7289,perennial
7290,intermittent
7245,perennial
7246,perennial
7279,intermittent
7247,perennial
7278,perennial
7248,perennial
7270,perennial
7277,perennial
7271,perennial
7272,intermittent
7273,intermittent
7275,perennial
7274,perennial
7276,perennial
7249,perennial
7250,perennial
7267,perennial
7251,perennial
7252,perennial
7265,intermittent
7253,perennial
7401,perennial
7254,perennial
7255,perennial
7256,perennial
7257,perennial
7258,perennial
7259,perennial
7260,perennial
7261,perennial
7262,perennial
7263,perennial
7264,perennial
7266,perennial
7269,perennial
7268,perennial
7292,perennial
7294,intermittent
7293,perennial
7295,intermittent
7297,intermittent
7240,intermittent
7298,perennial
7299,intermittent
7300,intermittent
7301,perennial
7302,perennial
7303,perennial
7304,perennial
7314,perennial
7318,intermittent
7315,perennial
7317,intermittent
7316,perennial
7305,perennial
7306,intermittent
7307,perennial
7309,perennial
7308,intermittent
7310,intermittent
7311,intermittent
7312,perennial
7313,perennial
7319,intermittent
7320,intermittent
7342,intermittent
7343,perennial
7344,perennial
7356,intermittent
7357,intermittent
7358,perennial
7345,perennial
7355,intermittent
7346,perennial
7354,intermittent
7353,intermittent
7348,perennial
7347,perennial
7352,intermittent
7349,perennial
7350,intermittent
7351,intermittent
7359,intermittent
