WP4;DRN;campaign;alpha;beta;gamma
3507;France;1;0.827553475;0.124989223;0.952542697
3507;France;2;0.888058512;0.037641908;0.92570042
3507;France;3;0.803910709;0.109512413;0.913423121
3507;France;4;0.828542641;0.094693573;0.923236214
3507;France;5;0.88480371;0.051872464;0.936676174
3838;France;1;0.766050361;0.064460374;0.830510735
3838;France;2;0.63552021;0.161866918;0.797387128
3838;France;3;0.626760612;0.168626926;0.795387537
3838;France;4;0.737771197;0.088385839;0.826157036
3838;France;5;0.811740025;0.037257277;0.848997302
3839;France;1;0.823948732;0.033563253;0.857511985
3839;France;2;0.734778395;0.087267977;0.822046372
3839;France;3;0.727089952;0.093491283;0.820581235
3839;France;4;0.719957854;0.099797077;0.819754931
3839;France;5;0.82520465;0.032924416;0.858129065
3840;France;1;0.823948732;0.033563253;0.857511985
3840;France;2;0.734778395;0.087267977;0.822046372
3840;France;3;0.727089952;0.093491283;0.820581235
3840;France;4;0.719957854;0.099797077;0.819754931
3840;France;5;0.82520465;0.032924416;0.858129065
3868;France;1;0.789307563;0.050685999;0.839993562
3868;France;2;0.695967551;0.114905681;0.810873232
3868;France;3;0.681060229;0.126073524;0.807133753
3868;France;4;0.748943659;0.081941444;0.830885102
3868;France;5;0.842399576;0.024073719;0.866473294
3841;France;1;0.823032264;0.031116886;0.85414915
3841;France;2;0.725813427;0.09359642;0.819409847
3841;France;3;0.715381513;0.101529073;0.816910586
3841;France;4;0.760706105;0.075882094;0.8365882
3841;France;5;0.828686884;0.031372747;0.86005963
3842;France;1;0.819443635;0.032099427;0.851543062
3842;France;2;0.719321354;0.098420394;0.817741748
3842;France;3;0.706702049;0.107779994;0.814482043
3842;France;4;0.756411604;0.077872864;0.834284468
3842;France;5;0.825979253;0.031931934;0.857911187
3843;France;1;0.80896476;0.037377868;0.846342629
3843;France;2;0.698690279;0.113400672;0.812090951
3843;France;3;0.685497199;0.123288543;0.808785741
3843;France;4;0.745686875;0.083548512;0.829235387
3843;France;5;0.81881394;0.034154153;0.852968093
3844;France;1;0.775428436;0.058769175;0.834197611
3844;France;2;0.67899947;0.128166655;0.807166125
3844;France;3;0.667469328;0.136959045;0.804428373
3844;France;4;0.740754543;0.09327785;0.834032392
3844;France;5;0.819297076;0.032589646;0.851886722
3855;France;1;0.708722339;0.104863164;0.813585503
3855;France;2;0.637298246;0.159319201;0.796617446
3855;France;3;0.626466357;0.167686684;0.794153041
3855;France;4;0.684852831;0.123700648;0.808553479
3855;France;5;0.829718826;0.034124616;0.863843442
3856;France;1;0.792297831;0.04913543;0.84143326
3856;France;2;0.701066255;0.111065579;0.812131834
3856;France;3;0.68730678;0.121421459;0.808728239
3856;France;4;0.701702733;0.110485706;0.812188439
3856;France;5;0.827745763;0.031141869;0.858887632
3857;France;1;0.775059082;0.059032121;0.834091203
3857;France;2;0.669972351;0.134393129;0.804365481
3857;France;3;0.656873662;0.144352553;0.801226215
3857;France;4;0.7140252;0.1015152;0.8155404
3857;France;5;0.835166557;0.029125079;0.864291636
3845;France;1;0.770613783;0.061530749;0.832144532
3845;France;2;0.667610454;0.135919324;0.803529778
3845;France;3;0.65666629;0.144427082;0.801093373
