campaign;DRN;WP4;dem;nep;co2
1;France;3507;0.002285688;-0.13372042;14317.95614
1;France;3508;0.002128269;0.237301236;34395.92184
1;France;3509;0.002158578;0.209686665;33397.12792
1;France;3510;0.002160699;0.167779235;38731.67324
1;France;3511;0.002166969;0.21075481;43542.13072
1;France;3512;0.002175696;0.224048485;42577.0184
1;France;3513;0.002249166;0.685645507;45690.71209
1;France;3514;0.002268201;1.684672563;30029.38756
1;France;3515;0.002387489;2.08650739;10127.07177
1;France;3516;0.002432752;1.347077387;52075.72397
1;France;3517;0.002475326;0.727552027;47026.92632
1;France;3518;0.00249012;1.217443679;37687.12922
1;France;3519;0.002466974;2.456500211;19975.76677
1;France;3520;0.00287509;1.141575828;515.5497864
1;France;3521;0.002538975;4.28872525;44992.76042
1;France;3522;0.002541658;2.217699898;37024.22991
1;France;3523;0.002543975;2.912550484;1266.549545
1;France;3524;0.002542751;2.041533635;14237.26041
1;France;3525;0.002546893;3.029168351;29802.30916
1;France;3526;0.002526072;3.142253039;11246.73154
1;France;3527;0.002549283;1.483811382;51005.95133
1;France;3528;0.00253177;1.352599539;9339.350239
1;France;3529;0.002476217;0.923548946;14725.61144
1;France;3530;0.002470202;1.396223114;5144.684773
1;France;3531;0.002480881;1.411575927;2305.090215
1;France;3532;0.002485297;1.602652765;45202.8604
1;France;3533;0.002474227;2.314043912;7590.615982
1;France;3534;0.002487734;1.512834417;27797.9775
1;France;3535;0.002505794;0.831464662;10270.56153
1;France;3536;0.002506052;0.328991946;21124.32682
1;France;3537;0.002219546;0.263424183;21891.71685
1;France;3538;0.002285338;0.220799337;22218.32397
1;France;3539;0.002268778;0.183461265;22854.82775
1;France;3540;0.002265409;0.389232694;4609.956249
1;France;3541;0.002268842;0.14011823;32160.97089
1;France;3542;0.002278;0.293381981;9172.786816
1;France;3543;0.002276385;-0.476863417;9888.539332
1;France;3544;0.002271549;-0.331928533;20138.21286
1;France;3545;0.001703638;-0.463007852;1507.447939
1;France;3546;0.002307883;-0.54315549;18681.58983
1;France;3547;0.001684315;-0.524714324;837.204981
1;France;3548;0.001694289;-0.530737009;1657.814377
1;France;3549;0.00169436;-0.531086531;2045.485668
1;France;3550;0.001969416;-0.558381776;3569.795721
1;France;3551;0.001686003;-0.491629078;4683.768981
1;France;3552;0.001685433;-0.491357665;6344.343042
1;France;3553;0.001639345;-0.535445495;1109.170003
1;France;3554;0.001717126;-0.562597291;4231.636945
1;France;3555;0.00202226;-0.631850894;2703.53695
1;France;3556;0.002429073;-0.635354815;2698.393829
1;France;3557;0.002241263;-0.625129201;818.440704
1;France;3558;0.002203555;-0.561523218;3103.368044
1;France;3559;0.002123699;-0.550447026;6169.220299
1;France;3560;0.002251822;-0.54780727;2891.48599
1;France;3561;0.002428843;-0.579872722;4594.564335
