WP4;DRN;dem;nep;co2
3507;France;0.002352224;-0.088774911;16556.54673
3508;France;0.002150526;0.081776116;38105.70841
3509;France;0.002163654;9.40E-05;37328.05963
3510;France;0.002163619;-0.092698422;43558.364
3511;France;0.002167052;-0.057765981;48830.38566
3512;France;0.002168831;-0.017332294;47491.06627
3513;France;0.002196909;0.427724517;50027.54475
3514;France;0.002233432;1.158800176;32592.23794
3515;France;0.002520002;1.516767789;10786.99514
3516;France;0.002576654;1.236164099;53225.02617
3517;France;0.00261244;0.727171171;48122.48239
3518;France;0.002621901;1.228702283;37430.77097
3519;France;0.002617439;2.021581425;20819.56588
3520;France;0.002928499;0.64777695;568.2284496
3521;France;0.002673392;4.002336518;45625.44778
3522;France;0.002613149;2.592839485;36541.77593
3523;France;0.002646641;1.946899592;1319.486368
3524;France;0.002631207;2.165412121;14823.42801
3525;France;0.002617191;2.611024405;30083.68306
3526;France;0.002618745;2.458605139;11355.56334
3527;France;0.002598424;1.820090686;50723.95867
3528;France;0.002597357;1.730375459;9822.09608
3529;France;0.00255927;1.207478899;14891.34444
3530;France;0.002551238;1.690503761;5445.560829
3531;France;0.002573432;1.838248498;2351.842927
3532;France;0.002582756;1.846846243;46009.92456
3533;France;0.002571797;2.019482199;8099.789289
3534;France;0.002576295;2.134472779;29867.39745
3535;France;0.002583827;0.923615198;10874.32917
3536;France;0.002538831;0.546313508;22343.63973
3537;France;0.002283889;0.515586004;22898.41908
3538;France;0.002293758;0.474126177;23400.43641
3539;France;0.002298353;0.429648236;23985.04932
3540;France;0.002293836;0.729858192;4595.983621
3541;France;0.002277092;0.381783527;29730.74804
3542;France;0.002327608;0.629906964;8978.519488
3543;France;0.002191707;-0.326783939;10018.84552
3544;France;0.002189977;-0.223949166;20344.87536
3545;France;0.001739742;-0.429738403;1397.650995
3546;France;0.002190747;-0.532782443;17997.12212
3547;France;0.001695976;-0.508873418;855.843504
3548;France;0.001701431;-0.509463461;1636.916874
3549;France;0.001700909;-0.518681213;2119.0942
3550;France;0.001922818;-0.530292262;2945.306286
3551;France;0.001677148;-0.464287077;4766.08711
3552;France;0.001681784;-0.455837955;6518.182345
3553;France;0.001636398;-0.516878279;1254.163003
3554;France;0.001687849;-0.550267412;4506.799886
3555;France;0.001908627;-0.639995331;2601.495019
3556;France;0.002301096;-0.629196017;2509.824982
3557;France;0.00207942;-0.631353584;907.340276
3558;France;0.002046149;-0.575437493;3443.882051
3559;France;0.001974258;-0.556282683;7035.636883
3560;France;0.002077905;-0.568974986;3271.699175
3561;France;0.002275199;-0.582819496;4377.543517
3562;France;0.002215828;-0.621837619;7098.454062
3563;France;0.002222262;-0.68221451;1877.37471
3564;France;0.002223765;-0.591829008;4338.208746
3565;France;0.002234779;-0.590832788;12532.18695
3566;France;0.002324917;-0.419056827;4542.624921
3567;France;0.002321928;-0.461478129;10080.27802
3568;France;0.002337081;-0.458916191;7131.828795
3569;France;0.002363935;-0.5217543;5335.629244
3570;France;0.001777449;-0.624072631;237.6176362
3571;France;0.001682345;-0.576489685;696.1951822
3572;France;0.002429411;-0.573191423;862.7100065
3573;France;0.001973957;-0.586686394;893.9859575
3574;France;0.001842759;-0.452053996;7980.256867
3575;France;0.002320879;-0.580418447;1161.661707
3576;France;0.001943239;-0.621170034;1960.433628
3577;France;0.001932941;-0.564225546;1855.760616
3578;France;0.001959926;-0.574520154;2136.753296
3579;France;0.001806985;-0.576145207;1995.438229
3580;France;0.001900086;-0.582630893;804.5082188
3581;France;0.002398251;-0.759663524;1406.308896
3582;France;0.001967506;-0.55377568;2826.526189
3583;France;0.001905655;-0.546501041;5009.71509
3584;France;0.001868466;-0.628826583;3277.802972
3585;France;0.002379058;-0.616777905;1771.7846
3586;France;0.001863639;-0.480159961;1935.212381
3587;France;0.002357517;-0.543389342;1459.685872
3588;France;0.002458195;-0.578556648;561.2618449
3589;France;0.002389779;-0.547315279;3462.797366
3590;France;0.002415115;-0.628178874;550.5324422
3592;France;0.002472436;-0.578521816;819.2647449
3593;France;0.002540772;-0.561002085;809.3103122
3594;France;0.002457196;-0.530838263;1789.331396
3595;France;0.002354078;-0.657631643;2989.417165
3596;France;0.001934923;-0.635030542;620.3846909
3597;France;0.002475664;-0.632361353;1319.122363
3598;France;0.002430342;-0.573718278;1959.19355
3599;France;0.001949856;-0.5025356;1769.886311
3600;France;0.002394279;-0.618881553;2159.40233
3601;France;0.002402587;-0.536277064;2156.345643
3602;France;0.001954116;-0.526971071;4161.638966
3603;France;0.001985449;-0.493667189;1438.854229
3604;France;0.001979314;-0.540987438;1779.185032
3605;France;0.002408828;-0.478459987;1673.557856
3606;France;0.002541129;-0.531613494;2156.070083
3607;France;0.002537736;-0.542285643;687.2621244
3608;France;0.0019203;-0.530518931;1260.012447
3609;France;0.002474915;-0.560149859;780.2417493
3610;France;0.002520756;-0.574352617;1226.242146
3611;France;0.002384816;-0.553443032;3483.252805
3612;France;0.002299126;-0.511282378;1699.69367
3613;France;0.002510945;-0.54228895;1013.661228
